#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         169     1.19855     1.20075   0.0169716
         170     1.21614     1.20084    0.016872
         171     1.23141     1.20102   0.0167742
         172     1.24438     1.20127   0.0166786
         173     1.25558     1.20159   0.0165852
         174      1.2653     1.20195   0.0164939
         175     1.27301     1.20236   0.0164046
         176     1.27723     1.20278   0.0163169
         177     1.27611      1.2032     0.01623
         178     1.26811     1.20356   0.0161429
         179     1.25288     1.20384   0.0160551
         180      1.2315     1.20399   0.0159666
         181     1.20619       1.204   0.0158784
         182     1.17999     1.20387   0.0157917
         183     1.15624     1.20361   0.0157076
         184     1.13805     1.20325   0.0156263
         185     1.12781     1.20285   0.0155471
         186     1.12669     1.20244   0.0154689
         187     1.13434     1.20207   0.0153905
         188     1.14889     1.20179   0.0153112
         189     1.16732     1.20161   0.0152313
         190      1.1861     1.20153   0.0151513
         191     1.20205     1.20153    0.015072
         192     1.21303     1.20159   0.0149936
         193      1.2182     1.20168   0.0149162
         194     1.21796     1.20176   0.0148395
         195     1.21355     1.20182   0.0147636
         196     1.20663     1.20184   0.0146883
         197     1.19881     1.20183   0.0146137
         198     1.19139     1.20178     0.01454
         199     1.18506     1.20169   0.0144672
         200     1.17995     1.20158   0.0143952
         201     1.17601     1.20146   0.0143242
         202     1.17343     1.20132    0.014254
         203     1.17267     1.20118   0.0141844
         204       1.174     1.20104   0.0141155
         205     1.17741     1.20093   0.0140471
         206     1.18287     1.20084   0.0139792
         207     1.19071     1.20079   0.0139118
         208     1.20173      1.2008   0.0138449
         209       1.217     1.20087   0.0137789
         210     1.23715     1.20105   0.0137143
         211     1.26163     1.20133   0.0136523
         212     1.28812     1.20174   0.0135941
         213     1.31292     1.20226   0.0135403
         214     1.33197     1.20287   0.0134906
         215     1.34206     1.20352   0.0134433
         216     1.34163     1.20416   0.0133963
         217     1.33103     1.20474   0.0133473
         218     1.31199     1.20523   0.0132952
         219     1.28685     1.20561   0.0132397
         220     1.25779     1.20584   0.0131816
         221      1.2267     1.20594   0.0131223
         222      1.1954     1.20589   0.0130633
         223     1.16628     1.20571   0.0130059
         224     1.14272     1.20543   0.0129509
         225     1.12862     1.20509   0.0128978
         226     1.12689     1.20474   0.0128454
         227     1.13782     1.20445   0.0127922
         228     1.15853     1.20425   0.0127377
         229     1.18432     1.20416   0.0126824
         230     1.21044     1.20419   0.0126272
         231      1.2332     1.20431   0.0125732
         232     1.25023     1.20451   0.0125206
         233     1.26028     1.20475   0.0124691
         234     1.26285       1.205   0.0124183
         235     1.25806     1.20523   0.0123675
         236     1.24672      1.2054   0.0123164
         237     1.23036     1.20551   0.0122648
         238     1.21111     1.20553   0.0122133
         239      1.1913     1.20547   0.0121624
         240     1.17277     1.20533   0.0121125
         241     1.15651     1.20513   0.0120639
         242     1.14267     1.20487   0.0120168
         243     1.13115     1.20457   0.0119712
         244     1.12208     1.20423   0.0119269
         245     1.11618     1.20387   0.0118836
         246     1.11448     1.20351   0.0118409
         247     1.11785     1.20316    0.011798
         248     1.12655     1.20285   0.0117545
         249     1.14012      1.2026     0.01171
         250     1.15781     1.20242   0.0116645
         251     1.17878     1.20233   0.0116184
         252     1.20219     1.20233   0.0115723
         253     1.22679     1.20242    0.011527
         254     1.25067     1.20261   0.0114832
         255     1.27147     1.20288   0.0114413
         256     1.28701     1.20321   0.0114013
         257     1.29595     1.20357   0.0113627
         258     1.29796     1.20394   0.0113245
         259     1.29314     1.20428    0.011286
         260     1.28112     1.20458   0.0112465
         261     1.26111      1.2048   0.0112055
         262     1.23285      1.2049   0.0111632
         263     1.19794     1.20488   0.0111208
         264     1.16022     1.20471     0.01108
         265     1.12512     1.20441   0.0110422
         266     1.09826     1.20401   0.0110079
         267     1.08399     1.20356   0.0109759
         268     1.08461     1.20311   0.0109439
         269      1.1002     1.20273   0.0109099
         270     1.12865     1.20246   0.0108729
         271     1.16601     1.20232   0.0108336
         272     1.20713     1.20234   0.0107938
         273     1.24638      1.2025   0.0107555
         274     1.27859     1.20278   0.0107198
         275     1.29981     1.20313   0.0106866
         276      1.3079     1.20351   0.0106547
         277     1.30278     1.20387   0.0106222
         278      1.2863     1.20417   0.0105882
         279      1.2617     1.20437   0.0105522
         280     1.23302     1.20448    0.010515
         281     1.20422     1.20448   0.0104776
         282     1.17863     1.20438   0.0104408
         283     1.15907     1.20422   0.0104052
         284     1.14832     1.20403   0.0103704
         285     1.14908     1.20383   0.0103358
         286     1.16302     1.20369   0.0103007
         287     1.18905     1.20364   0.0102649
         288     1.22244     1.20371   0.0102295
         289     1.25563     1.20388   0.0101956
         290      1.2805     1.20415   0.0101639
         291       1.291     1.20445   0.0101334
         292     1.28459     1.20472   0.0101024
         293     1.26241     1.20492   0.0100698
         294     1.22861       1.205   0.0100359
         295     1.18931     1.20495    0.010002
         296     1.15149     1.20477  0.00996984
         297     1.12211     1.20449  0.00994016
         298     1.10695     1.20416  0.00991219
         299     1.10939     1.20384   0.0098841
         300     1.12907     1.20359   0.0098543
         301     1.16161     1.20345  0.00982255
         302     1.19964     1.20344  0.00979003
         303      1.2349     1.20355  0.00975827
         304     1.26063     1.20373  0.00972798
         305     1.27317     1.20396  0.00969874
         306     1.27254     1.20419  0.00966964
         307       1.262     1.20437  0.00963998
         308     1.24708     1.20451  0.00960967
         309      1.2335     1.20461  0.00957903
         310     1.22531     1.20467  0.00954837
         311      1.2241     1.20474  0.00951787
         312     1.22965     1.20482   0.0094877
         313     1.24112     1.20493  0.00945809
         314     1.25744      1.2051  0.00942945
         315     1.27702     1.20533  0.00940228
         316     1.29727     1.20562  0.00937703
         317     1.31503     1.20596   0.0093538
         318     1.32745     1.20634  0.00933218
         319     1.33282     1.20674  0.00931134
         320     1.33064     1.20713  0.00929029
         321     1.32127     1.20748  0.00926815
         322      1.3056     1.20779  0.00924438
         323     1.28447     1.20803   0.0092188
         324     1.25855     1.20818  0.00919167
         325      1.2286     1.20824   0.0091636
         326     1.19588     1.20821  0.00913557
         327     1.16248     1.20807   0.0091087
         328     1.13104     1.20783  0.00908396
         329     1.10416     1.20752  0.00906181
         330     1.08384     1.20714   0.0090421
         331     1.07116     1.20673  0.00902411
         332     1.06638     1.20631  0.00900683
         333     1.06913      1.2059   0.0089892
         334     1.07855     1.20552  0.00897036
         335     1.09333     1.20518  0.00894984
         336     1.11177      1.2049  0.00892752
         337     1.13206     1.20469  0.00890364
         338     1.15249     1.20453  0.00887864
         339     1.17143     1.20443  0.00885299
         340     1.18756     1.20438  0.00882709
         341      1.1998     1.20437  0.00880121
         342     1.20733     1.20438  0.00877548
         343     1.20968      1.2044  0.00874991
         344      1.2067      1.2044  0.00872448
         345     1.19869     1.20439   0.0086992
         346     1.18672     1.20433  0.00867421
         347     1.17282     1.20424  0.00864969
         348     1.15983     1.20412  0.00862577
         349      1.1509     1.20396  0.00860241
         350     1.14836      1.2038   0.0085793
         351     1.15291     1.20366  0.00855608
         352     1.16333     1.20355  0.00853254
         353     1.17718     1.20347  0.00850869
         354     1.19174     1.20344  0.00848472
         355     1.20486     1.20344  0.00846082
         356     1.21555     1.20348  0.00843712
         357     1.22434     1.20353  0.00841369
         358     1.23291     1.20362  0.00839059
         359     1.24281     1.20372  0.00836793
         360     1.25403     1.20386  0.00834585
         361     1.26466     1.20403  0.00832443
         362     1.27236     1.20422  0.00830358
         363     1.27593     1.20442  0.00828305
         364     1.27601     1.20462  0.00826263
         365     1.27441     1.20481   0.0082422
         366     1.27306     1.20499  0.00822179
         367     1.27338     1.20518   0.0082015
         368     1.27604     1.20537  0.00818148
         369     1.28106     1.20558  0.00816188
         370     1.28806      1.2058  0.00814286
         371      1.2962     1.20604  0.00812456
         372     1.30394     1.20631  0.00810698
         373      1.3089     1.20658  0.00808991
         374     1.30826     1.20685  0.00807284
         375     1.29971      1.2071  0.00805511
         376     1.28246      1.2073  0.00803618
         377     1.25797     1.20744  0.00801599
         378     1.22949      1.2075  0.00799499
         379     1.20113     1.20748  0.00797392
         380     1.17639      1.2074  0.00795335
         381     1.15707     1.20726  0.00793357
         382     1.14276      1.2071   0.0079146
         383     1.13138      1.2069  0.00789641
         384      1.1206     1.20667  0.00787904
         385     1.10946     1.20642  0.00786262
         386     1.09945     1.20614  0.00784713
         387     1.09378     1.20585  0.00783223
         388     1.09461     1.20557  0.00781729
         389     1.10081      1.2053  0.00780183
         390     1.10909     1.20505  0.00778572
         391     1.11705     1.20483  0.00776906
         392     1.12487     1.20462  0.00775192
         393      1.1348     1.20444  0.00773423
         394     1.14955      1.2043  0.00771585
         395      1.1706     1.20422  0.00769679
         396     1.19726      1.2042  0.00767738
         397     1.22654     1.20426  0.00765824
         398     1.25401     1.20438  0.00764002
         399     1.27535     1.20456  0.00762294
         400      1.2873     1.20477  0.00760669
         401     1.28824     1.20498  0.00759057
         402     1.27807     1.20516  0.00757387
         403     1.25815     1.20529  0.00755621
         404     1.23119     1.20535  0.00753778
         405     1.20125     1.20534  0.00751918
         406     1.17326     1.20526  0.00750107
         407     1.15199     1.20513  0.00748379
         408     1.14097     1.20498  0.00746709
         409      1.1417     1.20482  0.00745044
         410     1.15344      1.2047  0.00743332
         411     1.17358     1.20462  0.00741562
         412     1.19816      1.2046  0.00739764
         413     1.22278     1.20465  0.00737986
         414     1.24335     1.20474  0.00736262
         415     1.25665     1.20487  0.00734595
         416     1.26073       1.205  0.00732951
         417     1.25517     1.20512  0.00731293
         418     1.24115     1.20521  0.00729594
         419     1.22125     1.20525  0.00727863
         420     1.19917     1.20523  0.00726131
         421     1.17917     1.20517  0.00724433
         422     1.16518     1.20508  0.00722778
         423     1.15969     1.20497  0.00721149
         424     1.16317     1.20487  0.00719515
         425     1.17435      1.2048  0.00717858
         426     1.19112     1.20477   0.0071618
         427     1.21133     1.20478  0.00714505
         428     1.23297     1.20485  0.00712866
         429     1.25416     1.20496  0.00711297
         430     1.27332     1.20512   0.0070982
         431     1.28925     1.20532  0.00708442
         432     1.30156     1.20554  0.00707152
         433     1.31073     1.20578  0.00705936
         434     1.31772     1.20604   0.0070478
         435     1.32362     1.20631  0.00703678
         436     1.32909     1.20659  0.00702627
         437     1.33422     1.20688  0.00701626
         438     1.33859     1.20718  0.00700669
         439     1.34106     1.20749  0.00699736
         440     1.33951     1.20779  0.00698789
         441       1.331     1.20807  0.00697762
         442     1.31261      1.2083  0.00696584
         443     1.28279     1.20847  0.00695215
         444     1.24223     1.20855  0.00693691
         445     1.19412     1.20852  0.00692139
         446     1.14357     1.20837  0.00690741
         447     1.09693     1.20812  0.00689645
         448     1.06075     1.20779   0.0068889
         449     1.04019     1.20742  0.00688366
         450      1.0374     1.20704  0.00687873
         451     1.05109      1.2067  0.00687216
         452     1.07734     1.20641  0.00686291
