#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         169    0.960731    0.962011   0.0115548
         170     0.97269    0.962074    0.011487
         171    0.983083    0.962197   0.0114205
         172     0.99192     0.96237   0.0113554
         173     0.99957    0.962585   0.0112918
         174     1.00619    0.962836   0.0112297
         175      1.0115    0.963114    0.011169
         176     1.01446    0.963405   0.0111093
         177     1.01374     0.96369   0.0110502
         178     1.00833    0.963941    0.010991
         179    0.997994    0.964131   0.0109312
         180    0.983464    0.964238    0.010871
         181    0.966228    0.964249    0.010811
         182     0.94835    0.964162   0.0107519
         183    0.932127    0.963987   0.0106946
         184    0.919689    0.963746   0.0106392
         185    0.912666     0.96347   0.0105852
         186    0.911852    0.963192    0.010532
         187    0.917065    0.962946   0.0104785
         188    0.926969    0.962754   0.0104246
         189     0.93949    0.962631   0.0103701
         190    0.952287    0.962577   0.0103157
         191    0.963128     0.96258   0.0102617
         192    0.970543    0.962621   0.0102083
         193    0.974024     0.96268   0.0101556
         194    0.973785    0.962738   0.0101034
         195    0.970676    0.962778   0.0100517
         196    0.965843    0.962794   0.0100004
         197    0.960426    0.962782  0.00994965
         198    0.955298    0.962744  0.00989947
         199    0.950948    0.962685   0.0098499
         200    0.947427    0.962609  0.00980094
         201    0.944748     0.96252  0.00975259
         202    0.942983    0.962423  0.00970479
         203    0.942463    0.962325  0.00965748
         204    0.943373    0.962232  0.00961058
         205    0.945709    0.962151  0.00956404
         206    0.949455    0.962089  0.00951781
         207    0.954783    0.962054   0.0094719
         208    0.962243    0.962055  0.00942636
         209    0.972641    0.962106  0.00938139
         210    0.986402    0.962221  0.00933743
         211     1.00311    0.962415  0.00929519
         212     1.02123    0.962693  0.00925548
         213     1.03827    0.963047  0.00921883
         214     1.05134     0.96346  0.00918498
         215     1.05835    0.963901  0.00915286
         216     1.05817    0.964338  0.00912088
         217     1.05103    0.964737  0.00908759
         218     1.03813    0.965074  0.00905214
         219     1.02111     0.96533  0.00901442
         220     1.00141    0.965494  0.00897494
         221    0.980273    0.965561  0.00893458
         222    0.958997    0.965531  0.00889438
         223    0.939201    0.965413  0.00885528
         224    0.923122    0.965224  0.00881776
         225    0.913444    0.964994  0.00878157
         226    0.912229    0.964761  0.00874582
         227    0.919602    0.964562  0.00870955
         228    0.933691    0.964426  0.00867241
         229     0.95125    0.964369  0.00863473
         230     0.96901    0.964389  0.00859721
         231    0.984511    0.964476  0.00856043
         232    0.996101    0.964612  0.00852462
         233     1.00291    0.964777  0.00848962
         234     1.00462    0.964947  0.00845504
         235      1.0013    0.965102  0.00842048
         236    0.993543    0.965222  0.00838566
         237    0.982347    0.965295  0.00835059
         238    0.969186    0.965311  0.00831552
         239      0.9557    0.965271  0.00828082
         240    0.943062    0.965178  0.00824684
         241    0.931993     0.96504  0.00821377
         242    0.922597    0.964865   0.0081817
         243     0.91476    0.964659  0.00815063
         244    0.908594    0.964429  0.00812046
         245    0.904511    0.964185    0.008091
         246    0.903298    0.963937  0.00806189
         247    0.905472      0.9637  0.00803273
         248    0.911257    0.963489  0.00800312
         249    0.920397    0.963316  0.00797285
         250    0.932413    0.963192  0.00794192
         251    0.946648    0.963126  0.00791055
         252    0.962508    0.963124  0.00787916
         253    0.979208    0.963187  0.00784827
         254    0.995471    0.963314   0.0078184
         255     1.00972    0.963496  0.00778986
         256     1.02038    0.963719   0.0077626
         257     1.02655    0.963963  0.00773624
         258     1.02803    0.964211  0.00771024
         259     1.02486    0.964446  0.00768403
         260     1.01684    0.964647  0.00765712
         261     1.00333    0.964795  0.00762921
         262    0.984166    0.964869  0.00760045
         263    0.960427    0.964852  0.00757157
         264    0.934743    0.964738  0.00754375
         265    0.910776    0.964535  0.00751803
         266    0.892432    0.964264  0.00749465
         267    0.882644    0.963958  0.00747282
         268    0.882981    0.963656  0.00745104
         269    0.893508    0.963395   0.0074279
         270    0.912836    0.963208  0.00740275
         271    0.938255    0.963116  0.00737601
         272    0.966301    0.963127   0.0073489
         273    0.993097    0.963237   0.0073228
         274      1.0151    0.963426  0.00729852
         275     1.02967    0.963667  0.00727595
         276     1.03525    0.963927  0.00725421
         277     1.03176    0.964172  0.00723216
         278     1.02053    0.964374  0.00720898
         279     1.00376    0.964515  0.00718452
         280    0.984179    0.964586  0.00715921
         281    0.964548    0.964586  0.00713373
         282    0.947054    0.964523  0.00710871
         283    0.933697    0.964414  0.00708442
         284    0.926302     0.96428  0.00706075
         285    0.926719    0.964148   0.0070372
         286    0.936165    0.964051  0.00701328
         287    0.953883    0.964015  0.00698893
         288    0.976709    0.964059   0.0069648
         289    0.999395    0.964182  0.00694177
         290     1.01641    0.964362  0.00692017
         291      1.0236    0.964565  0.00689939
         292     1.01923    0.964752   0.0068783
