#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.17998     1.17212   0.0158137
         169     1.18246     1.17218   0.0157202
         170      1.1852     1.17225   0.0156279
         171     1.18854     1.17235   0.0155368
         172     1.19261     1.17247   0.0154469
         173     1.19726     1.17261   0.0153583
         174     1.20203     1.17278    0.015271
         175     1.20613     1.17297   0.0151849
         176     1.20861     1.17317      0.0151
         177     1.20853     1.17337    0.015016
         178     1.20525     1.17355   0.0149327
         179     1.19855     1.17369   0.0148499
         180      1.1885     1.17377   0.0147677
         181     1.17523     1.17378   0.0146861
         182     1.15864      1.1737   0.0146056
         183     1.13827     1.17351   0.0145271
         184     1.11342     1.17318   0.0144518
         185      1.0836     1.17269   0.0143818
         186     1.04932     1.17203   0.0143198
         187     1.01287     1.17118   0.0142685
         188    0.978733     1.17016   0.0142292
         189    0.952438       1.169   0.0142005
         190    0.938071     1.16779   0.0141777
         191    0.936506     1.16658   0.0141551
         192    0.946222     1.16543   0.0141278
         193    0.965094     1.16439   0.0140927
         194    0.990946      1.1635   0.0140484
         195     1.02155     1.16277   0.0139952
         196     1.05473     1.16222   0.0139346
         197     1.08811     1.16184    0.013869
         198     1.11883     1.16163   0.0138006
         199     1.14395     1.16154   0.0137315
         200     1.16129     1.16154   0.0136629
         201     1.17011     1.16158    0.013595
         202     1.17112     1.16163   0.0135278
         203     1.16584     1.16165   0.0134611
         204     1.15579     1.16162   0.0133952
         205      1.1419     1.16152   0.0133302
         206     1.12478     1.16134   0.0132667
         207      1.1054     1.16107   0.0132053
         208      1.0858     1.16071   0.0131468
         209     1.06901     1.16027   0.0130912
         210      1.0583     1.15979   0.0130379
         211     1.05606     1.15929   0.0129854
         212     1.06286     1.15884   0.0129321
         213     1.07713     1.15846    0.012877
         214      1.0959     1.15816   0.0128202
         215     1.11585     1.15797   0.0127621
         216     1.13435     1.15786   0.0127035
         217     1.14989     1.15782    0.012645
         218     1.16187     1.15784    0.012587
         219      1.1703      1.1579   0.0125296
         220      1.1755     1.15798   0.0124729
         221     1.17777     1.15807   0.0124168
         222     1.17731     1.15815   0.0123612
         223     1.17411     1.15822    0.012306
         224     1.16808     1.15827   0.0122511
         225     1.15917     1.15827   0.0121967
         226     1.14772     1.15823   0.0121428
         227     1.13448     1.15812   0.0120897
         228     1.12047     1.15796   0.0120378
         229     1.10659     1.15773   0.0119874
         230     1.09339     1.15745   0.0119385
         231     1.08123     1.15712   0.0118914
         232     1.07076     1.15675   0.0118459
         233     1.06307     1.15635   0.0118019
         234     1.05928     1.15593   0.0117588
         235     1.05983     1.15552   0.0117159
         236     1.06407     1.15514   0.0116726
         237     1.07028     1.15478   0.0116289
         238     1.07636     1.15445   0.0115847
         239     1.08085     1.15414   0.0115403
         240     1.08369     1.15385   0.0114959
         241     1.08596     1.15357   0.0114517
         242     1.08888      1.1533   0.0114075
         243     1.09298     1.15305   0.0113632
         244     1.09803     1.15282   0.0113189
         245     1.10359     1.15262   0.0112745
         246     1.10931     1.15245     0.01123
         247     1.11508      1.1523   0.0111856
         248     1.12088     1.15217   0.0111412
         249     1.12656     1.15207   0.0110969
         250     1.13172     1.15199   0.0110528
         251     1.13575     1.15192    0.011009
         252     1.13806     1.15187   0.0109654
         253     1.13829     1.15181   0.0109222
         254     1.13649     1.15175   0.0108794
         255     1.13303     1.15168    0.010837
         256      1.1286     1.15159    0.010795
         257     1.12406     1.15148   0.0107536
         258     1.12031     1.15136   0.0107125
         259     1.11818     1.15123    0.010672
         260     1.11824     1.15111   0.0106317
         261      1.1205     1.15099   0.0105916
         262     1.12427     1.15089   0.0105516
         263     1.12836      1.1508   0.0105119
         264     1.13145     1.15073   0.0104723
         265      1.1326     1.15066    0.010433
         266     1.13163     1.15059    0.010394
         267     1.12907     1.15051   0.0103554
         268     1.12594     1.15041   0.0103172
         269     1.12329     1.15031   0.0102793
         270     1.12194     1.15021   0.0102418
         271     1.12243     1.15011   0.0102045
         272     1.12509     1.15001   0.0101674
         273     1.13024     1.14994   0.0101304
         274     1.13832      1.1499   0.0100935
         275     1.14963      1.1499   0.0100568
         276     1.16402     1.14995   0.0100205
         277     1.18044     1.15006  0.00998496
         278      1.1969     1.15023  0.00995046
         279     1.21085     1.15045  0.00991717
         280     1.21983     1.15069  0.00988485
         281     1.22207     1.15095  0.00985293
         282     1.21697     1.15118  0.00982077
         283     1.20524     1.15137  0.00978793
         284      1.1887      1.1515  0.00975435
         285     1.16989     1.15157  0.00972033
         286     1.15145     1.15157  0.00968635
         287      1.1356     1.15151  0.00965276
         288     1.12387     1.15142  0.00961972
         289     1.11692      1.1513  0.00958717
         290     1.11464     1.15117  0.00955494
         291      1.1163     1.15105  0.00952286
         292     1.12081     1.15095  0.00949081
         293     1.12684     1.15087  0.00945878
         294     1.13289      1.1508   0.0094268
         295     1.13749     1.15076  0.00939495
         296     1.13941     1.15072  0.00936329
         297     1.13801     1.15068  0.00933186
         298     1.13343     1.15062  0.00930073
         299     1.12669     1.15054  0.00926997
         300     1.11939     1.15044  0.00923965
         301     1.11323     1.15031  0.00920978
         302     1.10944     1.15018  0.00918028
         303     1.10833     1.15004  0.00915102
         304      1.1091      1.1499  0.00912191
         305     1.11005     1.14977  0.00909293
         306     1.10915     1.14964  0.00906419
         307     1.10492      1.1495  0.00903583
         308     1.09734     1.14933  0.00900808
         309     1.08817     1.14913   0.0089811
         310     1.08007     1.14891   0.0089549
         311     1.07485     1.14867  0.00892927
         312     1.07261     1.14842  0.00890397
         313     1.07238     1.14818  0.00887884
         314      1.0733     1.14794  0.00885377
         315     1.07523     1.14771  0.00882867
         316     1.07862     1.14749  0.00880344
         317     1.08409     1.14729  0.00877794
         318      1.0919     1.14712  0.00875206
         319     1.10161     1.14698  0.00872579
         320     1.11221     1.14687   0.0086992
         321     1.12237     1.14679  0.00867243
         322     1.13094     1.14674  0.00864564
         323     1.13731     1.14671  0.00861892
         324      1.1415      1.1467  0.00859233
         325     1.14407     1.14669   0.0085659
         326     1.14582     1.14669  0.00853962
         327     1.14748     1.14669  0.00851351
         328      1.1494      1.1467  0.00848756
         329     1.15158     1.14671  0.00846177
         330     1.15386     1.14673  0.00843616
         331     1.15603     1.14676  0.00841072
         332     1.15789     1.14679  0.00838545
         333     1.15912     1.14683  0.00836035
         334     1.15925     1.14687   0.0083354
         335      1.1577      1.1469  0.00831058
         336     1.15393     1.14692  0.00828588
         337     1.14777     1.14692  0.00826129
         338     1.13964      1.1469  0.00823688
         339     1.13068     1.14685  0.00821272
         340     1.12281     1.14678  0.00818887
         341     1.11831      1.1467  0.00816528
         342     1.11868     1.14662  0.00814182
         343     1.12353     1.14655  0.00811836
         344     1.13027      1.1465  0.00809489
         345     1.13536     1.14647   0.0080715
         346     1.13609     1.14644  0.00804822
         347     1.13168      1.1464  0.00802514
         348     1.12358     1.14633  0.00800235
         349     1.11466     1.14624  0.00797993
         350     1.10778     1.14613  0.00795789
         351     1.10446     1.14601   0.0079361
         352     1.10471      1.1459  0.00791443
         353     1.10766     1.14579  0.00789275
         354     1.11238     1.14569  0.00787102
         355     1.11812     1.14562  0.00784923
         356     1.12407     1.14556  0.00782741
         357     1.12916     1.14551  0.00780562
         358     1.13227     1.14547  0.00778391
         359     1.13252     1.14544  0.00776231
         360     1.12953     1.14539  0.00774087
         361     1.12339     1.14533  0.00771967
         362     1.11436     1.14525  0.00769882
         363     1.10274     1.14513   0.0076785
         364     1.08894     1.14497  0.00765896
         365      1.0737     1.14478  0.00764046
         366     1.05805     1.14454  0.00762326
         367     1.04326     1.14427  0.00760748
         368     1.03069     1.14396  0.00759307
         369     1.02156     1.14363  0.00757973
         370     1.01682     1.14328  0.00756699
         371     1.01694     1.14294  0.00755425
         372     1.02171     1.14262  0.00754097
         373     1.03028     1.14232  0.00752677
         374      1.0412     1.14205   0.0075115
         375     1.05273     1.14181  0.00749524
         376     1.06322      1.1416  0.00747822
         377     1.07134     1.14141  0.00746071
         378     1.07614     1.14124  0.00744297
         379     1.07693     1.14107  0.00742526
         380     1.07335     1.14089  0.00740786
         381     1.06553     1.14069  0.00739106
         382     1.05447     1.14047  0.00737515
         383      1.0419     1.14021  0.00736039
         384     1.02984     1.13992  0.00734683
         385     1.01962     1.13961  0.00733439
         386     1.01135     1.13928  0.00732291
         387     1.00415     1.13893  0.00731231
         388     0.99679     1.13856  0.00730263
         389    0.988434     1.13818  0.00729405
         390    0.979071     1.13777  0.00728675
         391    0.969634     1.13734  0.00728079
         392    0.961725     1.13689  0.00727599
         393     0.95717     1.13643  0.00727183
         394    0.957477     1.13598  0.00726754
         395    0.963471     1.13554  0.00726226
         396    0.975064     1.13514  0.00725521
         397    0.991165     1.13477    0.007246
         398     1.00984     1.13446  0.00723459
         399     1.02867      1.1342  0.00722131
         400     1.04513     1.13397  0.00720669
         401       1.057     1.13378  0.00719127
         402     1.06266      1.1336  0.00717556
         403     1.06128     1.13342     0.00716
         404     1.05301     1.13323  0.00714504
         405     1.03912     1.13299  0.00713118
         406     1.02207     1.13272  0.00711885
         407     1.00523     1.13241  0.00710824
         408    0.992203     1.13206  0.00709912
         409    0.985738     1.13171  0.00709078
         410    0.986922     1.13135  0.00708227
         411    0.994969     1.13102  0.00707281
         412     1.00779     1.13072  0.00706196
         413     1.02287     1.13046  0.00704969
         414     1.03814     1.13024  0.00703619
         415     1.05239     1.13005  0.00702173
