#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         160       -0.48    -0.46065  0.00391182
         161       -0.44   -0.460522  0.00388963
         162       -0.48   -0.460642  0.00386748
         163       -0.44   -0.460515  0.00384582
         164      -0.424   -0.460293  0.00382881
         165       -0.52   -0.460655  0.00382267
         166      -0.472   -0.460723  0.00380025
         167      -0.504   -0.460982  0.00378632
         168      -0.448   -0.460905  0.00376457
         169      -0.536   -0.461349  0.00376843
         170       -0.52   -0.461694  0.00376202
         171      -0.384    -0.46124  0.00376736
         172      -0.536   -0.461674  0.00377045
         173      -0.488   -0.461827  0.00375172
         174       -0.36   -0.461241  0.00377552
         175      -0.408   -0.460937  0.00376619
         176      -0.472      -0.461  0.00374531
         177       -0.52   -0.461333  0.00373896
         178       -0.56   -0.461888  0.00375882
         179      -0.464   -0.461899  0.00373784
         180       -0.52   -0.462222  0.00373098
         181      -0.432   -0.462055   0.0037141
         182      -0.384   -0.461626  0.00371837
         183      -0.424   -0.461421  0.00370374
         184       -0.44   -0.461304  0.00368544
         185      -0.432   -0.461146  0.00366892
         186      -0.408    -0.46086   0.0036603
         187      -0.464   -0.460877  0.00364077
         188       -0.44   -0.460766  0.00362309
         189      -0.352    -0.46019  0.00364934
         190      -0.464   -0.460211  0.00363019
         191      -0.536   -0.460607   0.0036328
         192       -0.44     -0.4605  0.00361547
         193      -0.408   -0.460228  0.00360695
         194      -0.456   -0.460206  0.00358843
         195      -0.512   -0.460472  0.00357984
         196      -0.472   -0.460531  0.00356206
         197      -0.424   -0.460345   0.0035488
         198      -0.504   -0.460566  0.00353772
         199      -0.496   -0.460744  0.00352442
         200       -0.44    -0.46064  0.00350833
         201      -0.432   -0.460498  0.00349376
         202      -0.456   -0.460475  0.00347654
         203       -0.48   -0.460571  0.00346074
         204      -0.376   -0.460157  0.00346852
         205      -0.376   -0.459746  0.00347581
         206      -0.368   -0.459301  0.00348735
         207      -0.568   -0.459826  0.00350982
         208      -0.456   -0.459808  0.00349299
         209       -0.36    -0.45933  0.00350877
         210      -0.392    -0.45901  0.00350668
         211       -0.48   -0.459109  0.00349147
         212      -0.496   -0.459283  0.00347934
         213      -0.472   -0.459343  0.00346352
         214      -0.456   -0.459327  0.00344737
         215       -0.48   -0.459423  0.00343267
         216       -0.36   -0.458963   0.0034475
         217      -0.432   -0.458839  0.00343385
         218      -0.456   -0.458826  0.00341813
         219      -0.464   -0.458849   0.0034026
         220      -0.528   -0.459164  0.00340162
         221      -0.472   -0.459222  0.00338673
         222      -0.544   -0.459604  0.00339293
         223       -0.56   -0.460054  0.00340746
         224      -0.472   -0.460107  0.00339266
         225       -0.48   -0.460196  0.00337873
         226       -0.44   -0.460106  0.00336497
         227      -0.464   -0.460123  0.00335019
         228       -0.44   -0.460035  0.00333665
         229      -0.392   -0.459738  0.00333528
         230       -0.36   -0.459304  0.00334886
         231      -0.504   -0.459498  0.00333994
         232      -0.496   -0.459655  0.00332925
         233       -0.52   -0.459914  0.00332502
         234       -0.44   -0.459829   0.0033119
         235      -0.456   -0.459813  0.00329785
         236      -0.384   -0.459492  0.00329948
         237      -0.432   -0.459376   0.0032876
         238      -0.528   -0.459664   0.0032864
         239       -0.52   -0.459916  0.00328234
         240      -0.496   -0.460067   0.0032721
         241      -0.416   -0.459884  0.00326363
         242      -0.424   -0.459736  0.00325351
         243       -0.44   -0.459654  0.00324113
         244       -0.52   -0.459902  0.00323727
         245      -0.448   -0.459853  0.00322442
         246      -0.488   -0.459967  0.00321335
         247      -0.608   -0.460567  0.00325575
         248      -0.408   -0.460355  0.00324951
         249      -0.536   -0.460659  0.00325063
         250       -0.44   -0.460576  0.00323868
         251      -0.448   -0.460526  0.00322616
         252      -0.408   -0.460317  0.00322009
         253      -0.472   -0.460364  0.00320769
         254      -0.416   -0.460189  0.00319981
         255      -0.464   -0.460204   0.0031873
         256      -0.496   -0.460344  0.00317792
         257      -0.496   -0.460482  0.00316858
         258      -0.456   -0.460465  0.00315634
         259      -0.424   -0.460324   0.0031473
         260      -0.456   -0.460308  0.00313523
         261      -0.496   -0.460444   0.0031262
         262      -0.408   -0.460244  0.00312067
         263      -0.368   -0.459894  0.00312846
         264      -0.504   -0.460061  0.00312106
         265      -0.576   -0.460498   0.0031398
         266      -0.416   -0.460331  0.00313245
         267      -0.488   -0.460434  0.00312243
         268      -0.384   -0.460149  0.00312378
         269      -0.488   -0.460253  0.00311388
         270      -0.488   -0.460356  0.00310404
         271       -0.52   -0.460576  0.00310038
         272      -0.408   -0.460382    0.003095
         273        -0.4   -0.460161  0.00309156
         274      -0.472   -0.460204  0.00308058
         275       -0.44   -0.460131  0.00307025
         276      -0.496   -0.460261  0.00306188
         277      -0.432   -0.460159  0.00305252
         278       -0.48    -0.46023  0.00304238
         279      -0.576   -0.460645  0.00305964
         280      -0.488   -0.460743  0.00305027
         281      -0.408   -0.460555  0.00304519
         282       -0.56   -0.460908  0.00305474
         283       -0.48   -0.460975  0.00304469
         284      -0.472   -0.461014  0.00303421
         285      -0.352   -0.460632  0.00304758
         286      -0.472   -0.460671  0.00303719
         287      -0.416   -0.460516  0.00303059
         288      -0.488   -0.460611  0.00302157
         289      -0.464   -0.460623  0.00301114
         290      -0.432   -0.460524  0.00300237
         291       -0.44   -0.460454  0.00299288
         292      -0.448   -0.460411  0.00298294
         293      -0.432   -0.460314  0.00297433
         294      -0.512    -0.46049   0.0029694
         295      -0.432   -0.460393  0.00296091
         296      -0.512   -0.460568  0.00295603
         297      -0.496   -0.460687  0.00294849
         298      -0.528   -0.460913  0.00294723
         299      -0.384   -0.460656  0.00294858
         300      -0.472   -0.460693  0.00293899
         301      -0.488   -0.460784  0.00293063
         302       -0.48   -0.460848  0.00292162
         303       -0.44   -0.460779  0.00291278
         304      -0.472   -0.460816  0.00290344
         305      -0.496   -0.460931  0.00289621
         306      -0.456   -0.460915  0.00288679
         307       -0.48   -0.460977  0.00287805
         308      -0.472   -0.461013  0.00286893
         309      -0.432   -0.460919  0.00286118
