#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
             182           2.236         1.34569        0.062931
             183           1.364         1.34579       0.0625872
             184           1.476          1.3465       0.0622511
             185           1.588         1.34781       0.0619283
             186           1.548         1.34888       0.0616047
             187           2.208         1.35348       0.0614463
             188             1.1         1.35213       0.0611343
             189           1.772         1.35435       0.0608512
             190           0.528            1.35       0.0606861
             191           0.612         1.34614       0.0604913
             192           0.644         1.34248       0.0602866
             193            0.44          1.3378       0.0601554
             194           0.588         1.33394       0.0599693
             195           0.696         1.33067       0.0597509
             196           2.032         1.33424       0.0595531
             197           1.224         1.33369       0.0592535
             198           1.828         1.33618       0.0590068
             199           2.276          1.3409       0.0588989
             200            0.68          1.3376       0.0586971
             201            0.12         1.33154       0.0587168
             202           2.532         1.33749       0.0587261
             203           0.844         1.33505       0.0584871
             204           0.672          1.3318       0.0582907
             205           1.476         1.33251       0.0580105
             206           0.608         1.32899       0.0578355
             207           0.672         1.32582       0.0576431
             208            0.76          1.3231       0.0574301
             209           0.592          1.3196       0.0572618
             210           0.312          1.3148       0.0571897
             211           0.536         1.31111       0.0570377
             212             0.6         1.30775       0.0568672
             213           2.284         1.31234       0.0567846
             214           2.184         1.31641       0.0566652
             215           0.664         1.31338       0.0564828
             216           0.468         1.30946       0.0563567
             217           1.512          1.3104       0.0561047
             218           1.212         1.30994       0.0558492
             219           1.108         1.30902       0.0556018
             220           2.056         1.31242       0.0554526
             221           0.628         1.30932       0.0552881
             222           1.768         1.31139       0.0550777
             223           4.224         1.32445        0.056358
             224           2.504         1.32971       0.0563519
             225           1.752         1.33159       0.0561327
             226           1.216         1.33108       0.0558867
             227           0.464         1.32726       0.0557709
             228           2.592         1.33281       0.0558014
             229            0.66         1.32987        0.055635
             230           0.644         1.32689        0.055473
             231           0.944         1.32523       0.0552576
             232           0.544         1.32186        0.055122
             233           1.704          1.3235       0.0549098
             234            0.86         1.32152       0.0547108
             235           0.392         1.31757       0.0546208
             236           1.856         1.31985        0.054437
             237            1.24         1.31951       0.0542084
             238           0.384         1.31558       0.0541229
             239           0.524         1.31227       0.0539977
             240           0.448         1.30867       0.0538927
             241           1.704         1.31031        0.053694
             242            0.48         1.30688       0.0535816
             243           0.704          1.3044       0.0534185
             244           1.036          1.3033       0.0532109
             245           1.124         1.30256       0.0529988
             246           0.988         1.30128       0.0527988
             247            0.74         1.29901       0.0526339
             248           1.156         1.29844       0.0524248
             249           1.652         1.29986       0.0522335
             250           1.532         1.30078       0.0520328
             251             1.7         1.30237       0.0518498
             252           1.312         1.30241       0.0516441
             253           2.376         1.30666        0.051614
             254           0.548         1.30367       0.0514971
             255           0.836         1.30184       0.0513278
             256           1.824         1.30388       0.0511678
             257            0.54          1.3009        0.051055
             258           2.948         1.30729       0.0512547
             259           1.408         1.30768       0.0510583
             260           2.196         1.31109       0.0509761
             261           1.968         1.31361       0.0508429
             262           0.744         1.31144       0.0506953
             263           0.472         1.30824       0.0506029
             264           3.104         1.31505       0.0508663
             265           1.228         1.31472       0.0506754
             266             0.5         1.31165       0.0505774
             267             0.4         1.30824       0.0505031
             268           2.348         1.31212       0.0504635
             269           1.744         1.31372       0.0503014
             270           0.836         1.31196       0.0501462
             271           1.224         1.31163       0.0499622
             272           1.364         1.31182       0.0497789
             273           0.472         1.30875       0.0496915
             274           1.192         1.30832        0.049512
             275           1.308         1.30832        0.049332
             276           1.244         1.30809       0.0491538
             277           0.276         1.30436       0.0491173
             278           2.792         1.30971       0.0492313
             279           2.364         1.31349       0.0491996
             280           1.012         1.31241       0.0490357
             281           0.964         1.31117       0.0488769
             282           0.704         1.30902        0.048751
             283           1.312         1.30903       0.0485787
             284           1.524         1.30979       0.0484135
             285           0.504         1.30696       0.0483261
             286            0.86          1.3054       0.0481824
             287           0.304         1.30191       0.0481407
             288           0.456         1.29897       0.0480631
             289           0.588         1.29651       0.0479597
             290           1.488         1.29717       0.0477989
             291           0.708         1.29515       0.0476775
             292            1.76         1.29674       0.0475408
             293           2.312          1.3002       0.0475046
             294           4.144         1.30988       0.0483178
             295            1.64           1.311       0.0481669
             296           1.748         1.31247       0.0480268
             297           1.092         1.31173       0.0478709
             298           1.104         1.31103       0.0477153
             299           0.276         1.30757       0.0476811
             300           3.272         1.31412       0.0479697
             301           0.416         1.31114        0.047903
             302           1.016         1.31016       0.0477544
             303           0.488         1.30745       0.0476738
             304           1.916         1.30945        0.047559
             305           0.524         1.30687       0.0474727
             306           1.268         1.30675       0.0473178
             307            2.52          1.3107       0.0473284
             308           0.388          1.3077       0.0472694
             309           1.132         1.30713       0.0471199
             310           0.456         1.30439       0.0470478
             311           0.252           1.301       0.0470181
             312           0.972         1.29995       0.0468792
             313           0.832         1.29845       0.0467532
             314           0.928         1.29727       0.0466192
             315           1.496          1.2979       0.0464755
             316           0.644         1.29584       0.0463745
             317           2.352         1.29917       0.0463477
             318           1.916         1.30111       0.0462425
             319            0.92         1.29991        0.046113
             320            1.02         1.29904       0.0459772
             321           0.712         1.29721       0.0458703
             322           0.752         1.29552       0.0457591
             323           1.372         1.29575       0.0456181
             324           2.264         1.29874        0.045575
             325           0.812         1.29724       0.0454594
             326           4.228         1.30623       0.0462003
             327            0.48         1.30371       0.0461281
             328           1.748         1.30506       0.0460074
             329           0.608         1.30294       0.0459163
             330            2.92         1.30784       0.0460379
             331             0.6          1.3057       0.0459484
             332             1.2         1.30539       0.0458111
             333           0.672         1.30348        0.045713
             334           0.868         1.30218       0.0455947
             335            0.94          1.3011       0.0454715
             336           0.352         1.29827       0.0454238
             337           1.064         1.29758       0.0452943
             338           2.256         1.30041        0.045249
             339            2.98         1.30537       0.0453859
             340           1.248          1.3052       0.0452528
             341           3.084         1.31042       0.0454197
             342           2.296          1.3133       0.0453782
             343           2.632         1.31714       0.0454085
             344           0.724         1.31542       0.0453092
             345           0.892         1.31419       0.0451945
             346           0.196         1.31096       0.0451793
             347           0.632           1.309       0.0450915
             348               1         1.30811       0.0449706
             349           1.832         1.30962       0.0448668
             350           0.312         1.30677       0.0448291
             351           0.984         1.30585       0.0447108
             352            0.98         1.30492       0.0445933
             353           0.288         1.30204         0.04456
             354           0.744         1.30046        0.044462
             355           0.604          1.2985         0.04438
             356           0.828         1.29718        0.044275
             357             1.1         1.29663       0.0441544
             358            1.24         1.29647       0.0440314
             359           0.756         1.29496       0.0439345
             360           0.952         1.29401       0.0438227
             361             1.4          1.2943       0.0437023
             362           1.324         1.29439       0.0435817
             363           1.452         1.29482       0.0434638
             364           1.028         1.29409       0.0433506
             365           1.824         1.29554       0.0432561
             366             1.4         1.29583       0.0431389
             367           0.756         1.29435       0.0430464
             368           1.992         1.29625       0.0429711
             369           1.268         1.29617       0.0428547
             370            1.74         1.29737       0.0427557
             371           1.904         1.29901       0.0426717
             372           2.436         1.30206       0.0426663
             373           0.632         1.30027       0.0425897
             374           1.192         1.29998       0.0424768
             375             0.8         1.29865       0.0423845
             376            1.92          1.3003        0.042304
             377           1.812         1.30166       0.0422135
             378           1.168          1.3013       0.0421033
             379            1.12         1.30082        0.041995
             380           0.656         1.29913       0.0419187
             381           1.044         1.29846        0.041814
             382           0.776         1.29709       0.0417269
             383             2.1         1.29919       0.0416706
             384           1.848         1.30061       0.0415866
             385           0.588         1.29876       0.0415198
             386           0.712         1.29724         0.04144
             387           1.152         1.29687       0.0413346
             388           0.724         1.29539       0.0412545
             389           1.628         1.29625       0.0411573
             390           1.848         1.29766        0.041076
             391           0.324         1.29517       0.0410464
             392            0.98         1.29437       0.0409496
