#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
             167           0.312       0.0484311       0.0105507
             168           0.016       0.0482381       0.0104896
             169            0.34       0.0499645       0.0105687
             170           0.376       0.0518824       0.0106791
             171          -0.204        0.050386        0.010721
             172           0.392       0.0523721       0.0108411
             173           0.112       0.0527168       0.0107839
             174          -0.032       0.0522299       0.0107329
             175          -0.092       0.0514057       0.0107032
             176          -0.088       0.0506136       0.0106716
             177           0.124       0.0510282       0.0106194
             178           -0.14       0.0499551       0.0106138
             179          -0.072       0.0492737       0.0105763
             180          -0.168       0.0480667       0.0105862
             181          -0.028       0.0476464       0.0105361
             182           0.052       0.0476703       0.0104782
             183           0.112       0.0480219       0.0104269
             184          -0.272       0.0462826       0.0105143
             185           0.148       0.0468324       0.0104718
             186           0.284       0.0481075       0.0104928
             187          -0.168       0.0469519       0.0105002
             188           0.048       0.0469574       0.0104443
             189          -0.116       0.0460952       0.0104246
             190          -0.176       0.0449263       0.0104351
             191           0.004        0.044712       0.0103826
             192          -0.076       0.0440833       0.0103476
             193          -0.196       0.0428394       0.0103684
             194          -0.028       0.0424742       0.0103214
             195          -0.056       0.0419692       0.0102808
             196           0.108       0.0423061       0.0102339
             197           0.144       0.0428223        0.010195
             198          -0.164       0.0417778       0.0101969
             199           0.056       0.0418492       0.0101459
             200           0.048         0.04188       0.0100952
             201           0.032       0.0418308       0.0100451
             202           0.176        0.042495       0.0100173
             203           0.028       0.0424236      0.00996819
             204            0.12       0.0428039      0.00992658
             205          -0.048        0.042361      0.00988804
             206           0.152       0.0428932      0.00985435
             207           0.172       0.0435169      0.00982646
             208          -0.112       0.0427692      0.00980762
             209           0.044       0.0427751       0.0097607
             210           0.148       0.0432762      0.00972707
             211           0.256       0.0442844      0.00973308
             212           0.216       0.0450943      0.00972081
             213          -0.104       0.0443944      0.00970034
             214           0.112       0.0447103      0.00966016
             215           0.124       0.0450791      0.00962226
             216           0.116       0.0454074      0.00958332
             217           0.104       0.0456774      0.00954296
             218           -0.04       0.0452844      0.00950727
             219             0.2       0.0459909      0.00949007
             220           0.152       0.0464727      0.00945916
             221           0.084       0.0466425      0.00941788
             222           0.208       0.0473694      0.00940346
             223          -0.112       0.0466547      0.00938841
             224          -0.044         0.04625      0.00935522
             225           0.104       0.0465067      0.00931716
             226          -0.016       0.0462301      0.00928004
             227           0.224       0.0470132      0.00927214
             228            0.18       0.0475965       0.0092498
             229           0.036       0.0475459      0.00920955
             230           0.092       0.0477391      0.00917154
             231          -0.256       0.0464242      0.00922561
             232          -0.176       0.0454655      0.00923552
             233          -0.168       0.0445494      0.00924121
             234     2.77556e-18        0.044359      0.00920368
             235            0.28       0.0453617      0.00921898
             236    -2.77556e-18       0.0451695      0.00918192
             237            0.08       0.0453165      0.00914435
             238             0.1       0.0455462      0.00910882
             239           0.052       0.0455732      0.00907074
             240          -0.072       0.0450833      0.00904617
             241          -0.084       0.0445477      0.00902448
             242           0.288       0.0455537      0.00904308
             243           0.072       0.0456626      0.00900652
             244           0.092       0.0458525      0.00897161
             245           0.036       0.0458122      0.00893508
             246           0.196       0.0464228       0.0089196
             247           0.288       0.0474008      0.00893695
             248            0.06       0.0474516      0.00890105
             249           0.168       0.0479357      0.00887846
             250           0.024         0.04784      0.00884347
             251           0.128       0.0481594        0.008814
             252            0.34       0.0493175      0.00885478
             253           0.152       0.0497233      0.00882907
             254          -0.068       0.0492598      0.00880647
             255           0.004       0.0490824      0.00877372
             256           0.368       0.0503281      0.00882745
             257             0.1       0.0505214      0.00879522
             258          -0.144       0.0497674      0.00879339
             259          -0.048         0.04939      0.00876753
             260           -0.16       0.0485846      0.00877072
             261          -0.056       0.0481839      0.00874627
             262           0.108       0.0484122      0.00871586
             263           0.136       0.0487452      0.00868908
             264          -0.028       0.0484545      0.00866103
             265          -0.216       0.0474566      0.00868565
             266          -0.088       0.0469474      0.00866791
             267           0.164       0.0473858      0.00864653
             268          -0.128       0.0467313      0.00863899
             269            0.06       0.0467807      0.00860702
             270           0.108       0.0470074      0.00857813
             271             0.2        0.047572      0.00856503
             272           0.256       0.0483382      0.00856775
             273           -0.04       0.0480147      0.00854248
             274           0.068       0.0480876      0.00851161
             275            0.08       0.0482036      0.00848145
             276           0.136       0.0485217      0.00845668
             277           0.036       0.0484765      0.00842628
             278          -0.024       0.0482158          0.0084
             279           0.416       0.0495341      0.00847269
             280            0.32          0.0505      0.00849732
             281    -1.38778e-18       0.0503203      0.00846898
             282          -0.228       0.0493333      0.00849626
             283          -0.152       0.0486219      0.00849597
             284          -0.128           0.048      0.00848879
             285          -0.036       0.0477053      0.00846412
             286           0.084       0.0478322      0.00843547
             287          -0.064       0.0474425      0.00841508
             288           0.136         0.04775      0.00839147
             289            0.16       0.0481384      0.00837142
             290           0.124          0.0484      0.00834664
             291             0.1       0.0485773      0.00831984
             292           0.136       0.0488767      0.00829673
             293           0.208       0.0494198      0.00828617
             294          -0.096       0.0489252      0.00827274
             295          -0.056       0.0485695      0.00825234
             296           0.152       0.0489189      0.00823185
             297          -0.156        0.048229        0.008233
             298          -0.028       0.0479732      0.00820935
             299           0.024        0.047893      0.00818228
             300           0.144       0.0482133      0.00816128
             301           0.244       0.0488638      0.00816004
             302             0.3       0.0496954      0.00817528
             303           0.104       0.0498746      0.00815027
             304           0.112       0.0500789      0.00812602
             305           -0.12       0.0495213      0.00811849
             306           0.084        0.049634      0.00809274
             307           0.156       0.0499805      0.00807379
             308          -0.108       0.0494675      0.00806385
             309          -0.112        0.048945      0.00805467
             310          -0.112       0.0484258       0.0080454
             311          -0.108       0.0479228      0.00803524
             312           0.056       0.0479487      0.00800953
             313            0.24       0.0485623      0.00800741
             314          -0.004       0.0483949      0.00798365
             315          -0.036        0.048127       0.0079628
             316           -0.02       0.0479114      0.00794052
             317           -0.14       0.0473186      0.00793757
