#     GENERATION:   L1:   BEST HALF <L1>:
           0     451.466      491.63
           1     436.195     472.274
           2     430.953     455.501
           3     426.686      444.99
           4     422.548     437.146
           5     416.594     428.308
           6      410.85     424.693
           7     404.895     418.142
           8     400.168     413.518
           9     400.168     409.309
          10     395.978     404.468
          11     392.978     399.591
          12     383.834     395.824
          13     382.917     390.836
          14     381.208     386.777
          15     378.279     384.526
          16     374.763     382.645
          17     368.556     379.327
          18     367.396       376.2
          19     364.749      371.28
          20      352.59     368.095
          21     351.445     364.164
          22     351.445     360.743
          23     351.445     356.159
          24     350.541     352.816
          25     344.189     351.259
          26     343.753      350.31
          27     341.795     348.196
          28     340.863     347.429
          29      334.61     343.422
          30     330.363     339.765
          31     330.363     337.604
          32     323.118     334.289
          33     323.118     329.896
          34     322.647     326.584
          35     319.238     324.001
          36     319.238     322.221
          37     317.919     321.313
          38     317.166     320.135
          39      314.25     318.534
          40     290.573       316.7
          41     290.573     312.705
          42      282.42     308.689
          43      282.42     297.457
          44     281.427     290.434
          45     278.385     283.451
          46     275.901     281.515
          47     275.331     279.331
          48     271.898     277.094
          49     271.898     275.417
          50     271.898     273.849
          51      271.47     272.165
          52     270.775     271.991
          53     270.775     272.094
          54     270.422     271.434
          55     270.422     271.072
          56     267.923     270.516
          57     263.144     269.756
          58     262.021     268.501
          59     262.021     266.614
          60     260.323     263.084
          61     260.323     262.103
          62     258.901     261.537
          63     258.901     260.997
          64     258.901     260.448
          65     255.592     259.818
          66     254.038     258.818
          67     254.038     257.344
          68      251.89     256.633
          69      251.89     256.089
          70      251.89      254.48
          71     249.635     253.739
          72     249.635     252.588
          73     246.432      251.58
          74     245.856     250.146
          75     239.173     248.467
          76      238.59     247.029
          77     234.045     246.422
          78     234.045     243.183
          79     234.045     239.804
          80     232.591     238.962
          81     232.591     236.964
          82     231.183     234.368
          83     231.183     232.634
          84     231.183     232.298
          85     231.183     231.744
          86     230.318     231.473
          87     230.025     231.251
          88     230.025     230.755
          89     230.025      230.38
          90     227.703     230.013
          91     227.703     229.697
          92     227.703      229.11
          93     227.703     228.707
          94     225.136     228.244
          95     225.136     227.822
          96     225.136     226.944
          97     223.872      226.29
          98     223.872     225.619
          99     223.872     225.346
         100     220.333     224.388
         101     220.333     225.344
         102     220.333     226.414
         103     220.333     224.713
         104     220.333     221.995
         105     217.567     220.276
         106     217.567     219.889
         107     216.106     218.654
         108     211.576     218.329
         109     210.024     215.799
         110     210.024     213.419
         111     210.024     211.352
         112     210.024     210.334
         113      208.62     210.209
         114      208.62     209.995
         115     205.502     209.504
         116     205.502     208.868
         117     205.502     208.279
         118     205.303     207.595
         119     205.098     206.601
         120     202.382     205.969
         121     202.382     205.321
         122     202.382     205.306
         123     202.382     204.874
         124     202.382     205.149
         125     200.592     204.451
         126     200.592     203.179
         127     199.529     202.309
         128     199.529     201.377
         129     199.529     200.868
         130     199.508     201.024
         131     196.758     200.419
         132     196.758     199.306
         133     193.903     198.355
         134     193.903     197.041
         135     191.532     195.554
         136     191.532     193.634
         137     191.532     192.804
         138     191.365     192.483
         139     191.365     191.859
         140     189.267     191.562
         141     187.204     191.151
         142     184.988     190.533
         143     184.334     189.374
         144     184.334     188.084
         145     184.334     186.693
         146     183.379     186.126
         147     181.596     184.819
         148     181.327     184.134
         149     178.738     184.105
         150     178.738     183.566
         151     178.179     181.461
         152      176.98     180.201
         153      176.98     179.097
         154     176.852     178.435
         155     175.447     177.861
         156     175.447     177.081
         157     175.447     176.447
         158     175.318     175.913
         159     175.318     175.758
         160     175.318      175.37
         161     174.657     175.313
         162     174.657     175.271
         163     174.647     175.094
         164      174.34     174.915
         165     173.986     174.747
         166     173.668     174.426
         167     173.026     174.124
         168     172.365      173.65
         169     172.365     173.291
         170     172.365     173.009
         171     172.365     172.717
         172     172.142     172.476
