#     GENERATION:   L1:   BEST HALF <L1>:
           0     462.772     500.514
           1     443.118     484.293
           2     441.916     467.805
           3     425.264     459.504
           4     425.264       447.5
           5     412.342     444.012
           6     412.342     435.729
           7     396.691     423.718
           8     396.691      412.43
           9     396.691     403.926
          10     387.083     398.722
          11     383.276     393.074
          12     383.205      388.05
          13     378.562     383.889
          14     368.176     381.865
          15     368.176     377.448
          16     368.176     373.304
          17      362.54     369.448
          18     359.297     367.646
          19     351.417      364.93
          20      347.45     360.655
          21     346.184     354.567
          22     336.641     350.172
          23     323.689     344.382
          24     323.689     336.812
          25     319.469     332.528
          26     315.106     325.051
          27     315.106     320.898
          28      309.27     319.001
          29     306.763     315.618
          30     301.287     312.647
          31     301.287     309.148
          32     301.287     305.471
          33     298.249     302.642
          34     298.249     301.108
          35     293.443     299.989
          36     293.252     297.846
          37     292.525     295.652
          38     292.525     294.282
          39     291.645     293.181
          40     290.573     292.683
          41     289.989     291.576
          42     285.617     290.857
          43     285.502     289.496
          44     283.694      286.98
          45     280.316      285.15
          46     278.925     283.925
          47     278.925     283.223
          48      277.32     280.322
          49     270.628     279.033
          50     270.628     276.933
          51     269.442     273.118
          52     269.442     271.474
          53     269.442     270.193
          54     269.442      269.83
          55     267.273     269.739
          56     261.977     268.907
          57     261.977     267.682
          58     261.977     265.791
          59     261.435     263.022
          60     260.306     262.371
          61     255.971      261.54
          62     255.971      260.45
          63     254.477     259.267
          64       250.5      257.62
          65       250.5      258.49
          66       250.5     256.723
          67       250.5     253.683
          68       250.5     251.043
          69       250.5     250.513
          70       250.5       250.5
          71     249.081     250.471
          72     249.081     250.301
          73     248.774     249.932
          74     246.553     249.393
          75     246.246     248.431
          76     245.389       247.4
          77     244.322     246.653
          78     242.424     246.058
          79     242.424     245.338
          80     242.424     244.581
          81     241.168     243.384
          82     238.392     243.003
          83     238.392     242.291
          84     238.392     240.533
          85     238.392      239.52
          86      236.51     238.956
          87     234.115     237.993
          88     234.115     237.781
          89     234.115      238.33
          90     234.115     236.136
          91     234.115     235.604
          92     232.894     234.303
          93     232.894     233.825
          94     232.628     233.416
          95     231.738     233.398
          96     231.738     233.701
          97     231.738     232.941
          98     231.667      232.19
          99     228.981     231.713
         100     212.747     230.836
         101     212.137      229.87
         102     212.137     227.331
         103     212.101     222.554
         104     212.101     216.521
         105     212.101     212.759
         106      209.44     212.059
         107      207.68     211.697
         108      207.68     211.091
         109     205.668     209.623
         110     205.538     207.922
         111     204.801     206.438
         112      204.67     205.938
         113      204.67     205.491
         114      204.67     205.513
         115      204.09     205.561
         116     203.606     204.674
         117     203.446     204.241
         118     203.446     203.987
         119     202.523     203.647
         120     198.667     203.534
         121      190.93     202.358
         122      190.93     201.557
         123     189.901     200.123
         124     189.386     198.332
         125     188.595      195.29
         126     188.595     191.667
         127     188.595      190.38
         128     188.595     189.806
         129     188.595     189.006
         130     188.153     188.638
         131     186.431     188.461
         132     186.431     188.021
         133     186.299     187.634
         134     185.856     187.131
         135     183.957     186.719
         136     183.957      186.25
         137     183.957     185.946
         138     183.957     185.461
         139     183.317     184.812
         140     183.317     185.022
         141     183.317     184.611
         142     183.317     183.607
         143     183.317     183.566
         144     178.924     183.306
         145     177.167     182.464
         146     177.167      179.99
         147     177.167     178.586
         148      175.86     177.376
         149      175.86      176.97
         150      175.86     176.493
         151     175.839     176.219
         152     175.839     175.898
         153     174.126     175.821
         154     173.761     175.615
         155     172.624     175.233
         156     172.624     174.504
         157     171.907     173.639
         158     171.907     172.746
         159      171.67     172.804
         160      171.67      172.47
         161      171.67     173.094
         162      171.67     172.917
         163     168.264     171.666
         164     168.264     171.534
         165     168.264     170.946
         166     168.264     169.972
         167     168.264     169.149
         168      166.92     168.905
         169      166.92     168.044
         170      166.92     167.826
         171     166.271      167.81
         172     163.168     168.419
         173     163.168     165.953
         174     163.168     165.148
         175     163.168     164.077
         176     162.989      163.19
         177     162.989     163.183
         178     162.989     163.075
         179     162.989     163.032
         180     156.513     162.867
         181     156.513     162.787
         182     156.513     162.123
         183     156.513     161.712
         184     156.513     158.966
         185     156.513     158.202
         186     156.513     156.725
         187     156.513     156.706
         188     156.513     156.513
         189     156.513     156.513
         190     156.493     156.513
         191     156.493      156.51
         192     156.493     156.504
         193     156.493      156.75
         194     156.493     156.496
         195     155.318     156.507
         196     155.209     156.385
         197     155.209     156.183
         198     153.171     156.463
         199     153.171     155.611
         200     153.171     157.592
         201     153.171     156.906
         202     153.171     153.878
         203     149.061     153.089
         204     146.335     151.787
         205     146.313     149.333
         206     146.313     148.338
         207     146.313     146.815
         208     146.313     146.408
         209     144.515     146.506
         210     144.515     146.179
         211     144.515     145.673
         212     144.515     145.027
         213     143.847      144.54
         214     143.697     144.405
         215     143.697     144.234
         216     143.697     144.005
         217     142.111     143.717
         218     142.111     143.427
         219     141.736     143.238
         220     141.736     142.921
         221     141.736     142.338
         222     141.736     142.133
         223     141.736     141.848
         224     141.736     141.756
         225      140.85      141.72
         226      140.85     141.678
         227      140.85     141.422
         228     140.769     141.111
         229     140.769     141.032
         230     140.769     140.862
         231     140.769     140.897
         232     140.769     141.234
         233     140.769      141.34
         234     140.769     140.999
         235     140.687     140.767
         236     140.262     140.749
         237     140.262     140.646
         238     140.262     140.579
         239     138.952     140.413
         240     136.812     140.162
         241     136.812     139.937
         242     136.812     140.247
         243     134.925     139.161
         244     133.643       139.4
         245     133.643     138.897
         246     133.643     135.299
         247     133.573     134.277
         248     132.977     134.006
         249     132.977     133.637
         250     132.779     133.366
         251     132.779     133.234
         252     132.546     132.843
         253     132.546     132.765
         254     132.482     132.731
         255     132.482     132.628
         256     131.013     132.533
         257     131.013     132.184
         258     131.013     131.822
         259     131.013     131.346
         260     131.013     131.228
         261     131.013     131.013
         262     130.388      131.21
         263     130.388     130.896
         264     130.388     130.723
         265     130.388     130.615
         266     130.388     130.488
         267     130.388     130.461
         268     130.316     130.386
         269     129.195     130.351
         270     129.123     130.196
         271     129.123     129.801
         272     129.123     129.484
         273     129.123     129.285
         274     128.972      129.12
         275     128.972     129.105
         276     128.972     129.057
         277     128.972     129.017
         278     128.972      128.99
         279     128.972     128.972
         280     122.406     128.841
         281     122.406     128.476
         282     122.406      127.65
         283     122.406     126.291
         284     119.401     124.568
         285     119.401     124.011
         286     118.024     123.982
         287     118.024     122.969
         288     118.024     120.802
         289     117.806     118.153
         290     117.565     117.985
         291     117.565     118.681
         292     117.354     118.145
         293     117.354     118.059
         294     117.354     119.398
         295     116.894      118.01
         296     116.894     117.837
         297     116.733      118.15
         298     116.733     117.852
         299     116.733     116.913
