#     GENERATION:   L1:   BEST HALF <L1>:
           0     458.052      492.22
           1     452.972     474.907
           2     441.898     466.962
           3     420.766     455.657
           4     418.552      441.53
           5     408.386     427.867
           6     404.227     417.711
           7     398.813     414.473
           8     398.227     406.869
           9     397.528     404.834
          10     394.141     400.932
          11     389.078     398.393
          12     389.078     395.721
          13     386.557     393.935
          14     384.188     390.373
          15     379.454     387.017
          16     370.699     383.444
          17     361.267     376.484
          18     361.267      371.61
          19     361.267     366.799
          20     360.639     364.875
          21     359.552     361.594
          22     355.841      360.73
          23     353.576     359.175
          24     348.694      356.89
          25     348.694     355.508
          26     346.459     352.594
          27     342.338     349.587
          28      341.16     347.521
          29     340.082     346.827
          30     333.574     343.114
          31     329.734     339.153
          32     329.734     336.513
          33     327.254     333.875
          34     326.693     330.454
          35     323.977       328.4
          36     321.345     326.579
          37     319.325     325.299
          38     316.787     323.212
          39     306.748     319.734
          40     304.549     317.422
          41     304.549     313.772
          42     301.962     309.097
          43     296.821     306.036
          44     295.136     303.399
          45     293.254     300.043
          46     293.254     298.567
          47      290.38     295.146
          48     288.249     294.007
          49     285.079     293.249
          50     285.079     291.229
          51     279.367     288.651
          52     279.367     286.741
          53     276.932     286.687
          54     271.005     284.444
          55     271.005     277.786
          56     270.987     273.869
          57     268.132     271.472
          58     266.943     270.525
          59     265.779      269.59
          60     265.779      268.18
          61     265.779     267.202
          62     265.779     266.367
          63     264.285     266.029
          64     262.864     265.548
          65     261.511     264.779
          66     260.267     263.769
          67     260.089     262.729
          68     260.089     261.434
          69     258.345     260.721
          70     258.069     260.301
          71     253.717     259.134
          72     253.717     258.085
          73     253.717     257.845
          74     253.381     256.996
          75     253.055     256.325
          76     252.843     255.019
          77     252.843     255.865
          78     250.628     254.117
          79     250.628     253.829
          80     232.591     251.649
          81     232.591     249.567
          82     232.591     248.817
          83     232.591     245.105
          84     232.591     238.761
          85     232.591     234.133
          86     231.633     232.896
          87     230.079     232.242
          88     228.492     232.057
          89     228.492      231.18
          90      226.87     229.987
          91     224.616     228.763
          92     223.728      227.22
          93     222.042     226.128
          94     222.042     225.147
          95     220.759     223.844
          96     219.771     222.327
          97     216.828     221.208
          98      215.84     220.496
          99     213.781     218.549
         100     212.747     216.107
         101     212.747     214.882
         102     211.978     213.399
         103     211.369     212.853
         104     211.312     212.321
         105     211.312     211.793
         106     210.407     211.446
         107     209.691     211.205
         108     208.729     210.598
         109     207.425      209.84
         110     202.632     208.775
         111     202.632     208.372
         112     199.815     205.929
         113     199.815     203.174
         114     199.815     202.018
         115     199.815     201.239
         116     199.815     200.634
         117     199.815     199.887
         118     199.547      199.81
         119     199.547      199.93
         120     198.667     199.679
         121     198.667     199.408
         122     198.608     199.259
         123     198.608     198.986
         124     198.438     198.824
         125     197.642     198.709
         126     197.642     198.403
         127     197.642     198.342
         128     195.281     197.839
         129     195.243     197.281
         130     194.486     196.712
         131     194.486     196.539
         132     194.486     195.916
         133     194.486     194.887
         134     193.535     194.572
         135     193.535     194.416
         136     190.722     193.874
         137     190.722     193.098
         138      189.78     191.543
         139      189.78     190.641
         140     183.317     190.239
         141     183.317     189.708
         142     183.317     189.338
         143     183.317     187.398
         144     183.317     185.311
         145     183.317     185.777
         146     183.317     183.456
         147     181.924     183.277
         148     181.791     183.158
         149     181.149      182.93
         150     181.149     182.431
         151     181.149     182.003
         152     181.149     181.477
         153     181.008     181.433
         154     180.907     181.286
         155     180.907     181.126
         156     180.264     181.054
         157     180.123     180.889
         158     179.624     180.714
         159     179.624     180.385
         160      171.67     179.925
         161     170.381     178.589
         162     169.586     176.138
         163     169.586     173.279
         164     169.586      170.73
         165     169.586     170.131
         166     169.586     169.877
         167      168.15     169.622
         168      168.15     169.401
         169     165.179     168.931
         170     163.477     168.403
         171       163.3     166.739
         172     159.665     164.761
         173     159.665     163.177
         174     158.803     161.768
         175     158.599     160.903
         176     158.053      160.15
         177     157.435     159.837
         178       157.4     158.829
         179     157.371     158.182
         180     156.513     158.298
         181     156.513     157.638
         182     156.449     157.251
         183     156.449     156.906
         184     156.449     157.149
         185     156.449     157.006
         186     155.684     157.751
         187     155.351     157.388
         188     155.036     157.242
         189     155.036     156.792
         190     155.036      156.71
         191     155.036     156.422
         192     154.738     155.533
         193     153.873     154.953
         194     153.849     154.889
         195     153.849      154.83
         196     152.957     154.487
         197     152.227     153.862
         198     152.227     153.003
         199     152.227     152.569
         200     151.921     152.296
         201     149.813     152.261
         202     149.813     151.806
         203     149.813     151.069
         204     149.813     150.514
         205     149.697     150.244
         206     148.265     149.999
         207     148.265     149.705
         208     148.265     148.918
         209     147.465     148.385
         210     147.465      148.45
         211     147.465     148.192
         212     147.465     147.737
         213     147.465     147.465
         214     147.465     147.465
         215     147.465     147.465
         216     147.465     147.465
         217     147.465     147.465
         218     147.465     147.465
         219     147.465     147.465
         220     141.736     147.318
         221     141.736     147.144
         222     141.006     147.091
         223     141.006     145.912
         224     140.259     143.897
         225     140.259      142.12
         226     140.259     140.707
         227     140.259     140.334
         228     140.259     140.259
         229     140.259     140.259
         230     140.259     140.259
         231     140.259     140.259
         232     140.259     140.259
