           2   -0.462078 0.000175313 
 	1.75   -0.516258 0.000180617       
         1.5    -0.58278 0.000210261
        1.25    -0.66445 0.000228132
           1   -0.761688 0.000249854
        0.75   -0.869975 0.000389395
         0.5   -0.972977 0.000694943
