#     GENERATION:   L1:   BEST HALF <L1>:
         244      5.7752     5.81564
         245      5.7752     5.80821
         246      5.7752     5.79253
         247      5.7752     5.78428
         248      5.7752     5.77749
         249      5.7752      5.7752
         250      5.7752      5.7752
         251      5.7752      5.7752
         252      5.7752      5.7752
         253      5.7752      5.7752
         254      5.7752      5.7752
         255      5.7752      5.7752
         256      5.7752      5.7752
         257      5.7752     5.79331
         258      5.7752      5.7752
         259      5.7752      5.7752
         260      5.7752      5.7752
         261      5.7752      5.7752
         262      5.7752      5.7752
         263      5.7752      5.7752
         264      5.7752      5.7752
         265      5.7752      5.7752
         266      5.7752      5.7752
         267      5.7752      5.7752
         268      5.7752      5.7752
         269      5.7752      5.7752
         270      5.7752      5.7752
         271      5.7752      5.7752
         272      5.7752      5.7752
         273      5.7752      5.7752
         274      5.7752      5.7752
         275      5.7752      5.7752
         276      5.7752      5.7752
         277      5.7752      5.7752
         278      5.7752      5.7752
         279      5.7752      5.7752
         280      5.7752      5.7752
         281      5.7752      5.7752
         282      5.7752      5.7752
         283      5.7752      5.7752
         284      5.7752      5.7752
         285      5.7752      5.7752
         286      5.7752      5.7752
         287      5.7752      5.7752
         288      5.7752      5.7752
         289      5.7752      5.7752
         290      5.7752      5.7752
         291      5.7752      5.7752
         292      5.7752      5.7752
         293      5.7752      5.7752
         294      5.7752      5.7752
         295      5.7752      5.7752
         296      5.7752      5.7752
         297      5.7752      5.7752
         298      5.7752      5.7752
         299      5.7752      5.7752
         300      5.7752      5.7752
         301      5.7752      5.7752
         302     5.65988     5.78999
         303     5.65988     5.74983
         304     5.65988     5.73371
         305     5.65988     5.72705
         306     5.65988     5.71483
         307     5.65988     5.67657
         308     5.65988     5.66218
         309     5.65849     5.65985
         310     5.65849      5.6596
         311     5.65849     5.66017
         312     5.65849     5.68008
         313     5.65849     5.65868
         314     5.65849     5.65849
         315     5.65849     5.65849
         316     5.65849     5.65849
         317     5.65849     5.65849
         318     5.65849     5.68224
         319     5.65849     5.65849
         320     5.65849     5.65849
         321     5.65849     5.65849
         322     5.65849     5.65849
         323     5.65849     5.65849
         324     5.65849     5.65849
         325     5.64666     5.65825
         326     5.64666     5.65707
         327     5.64666     5.65399
         328     5.64666     5.65139
         329     5.63541     5.64999
         330     5.63541     5.64673
         331     5.63541     5.64149
         332     5.63541     5.63676
         333     5.63541     5.63541
         334     5.63541     5.63541
         335     5.63541     5.63541
         336     5.63541     5.63541
         337     5.63541     5.63541
         338     5.62019     5.63511
         339     5.62019     5.63389
         340     5.62019     5.63085
         341     5.62019     5.62475
         342     5.62019     5.62019
         343     5.62019     5.62019
         344     5.62019     5.62019
         345     5.62019     5.62019
         346     5.62019     5.62019
         347     5.62019     5.62019
         348     5.62019     5.62019
         349     5.62019     5.62019
         350     5.62019     5.62019
         351     5.62019     5.62019
         352     5.62019     5.62019
         353     5.62019     5.62019
         354     5.62019     5.62019
         355     5.62019     5.62019
         356     5.62019     5.62019
         357     5.62019     5.62019
         358     5.62019     5.62019
         359     5.62019     5.62019
         360     5.62019     5.62019
         361     5.62019     5.62019
         362     5.62019      5.6523
         363     5.62019     5.62019
         364     5.62019     5.62019
         365     5.62019     5.62019
         366     5.62019     5.62019
         367     5.62019     5.62019
         368     5.62019     5.62019
         369     5.62019     5.62019
         370     5.62019     5.62019
         371     5.62019     5.62019
         372     5.62019     5.62019
         373     5.62019     5.62019
         374     5.62019     5.62019
         375     5.62019     5.62019
         376     5.62019     5.62019
         377     5.62019     5.62019
         378     5.62019     5.62019
         379     5.62019     5.62019
         380     5.62019     5.62019
         381     5.62019     5.62019
         382     5.62019     5.62019
         383     5.62019     5.62019
         384     5.62019     5.62019
         385     5.62019     5.62019
         386     5.62019     5.62019
         387     5.62019     5.62019
         388     5.62019     5.62019
         389     5.62019     5.62019
         390     5.62019     5.62019
         391     5.62019     5.62019
         392     5.62019     5.62019
         393     5.62019     5.62019
         394     5.62019     5.62019
         395     5.62019     5.62019
         396     5.62019     5.62019
         397     5.62019     5.62019
         398     5.62019     5.62019
         399     5.62019     5.62019
         400     5.62019     5.62019
         401     5.61196     5.62002
         402     5.61196     5.61805
         403     5.61196     5.61525
         404     5.61196     5.61361
         405     5.61196     5.61196
         406     5.61196     5.61196
         407     5.61196     5.61196
         408     5.61196     5.61196
         409     5.61196     5.61196
         410     5.61196     5.61196
         411     5.61196     5.61196
         412     5.61196     5.61483
         413     5.61196     5.61196
         414     5.61196     5.61196
         415     5.61196     5.61196
         416     5.61196     5.61196
         417     5.61196     5.61196
         418     5.61196     5.61196
         419     5.61196     5.61196
         420     5.61196     5.61196
         421     5.61196     5.61196
         422     5.61196     5.61196
         423     5.61196      5.6127
         424     5.61196     5.61196
         425     5.61196     5.61196
         426     5.61196     5.61196
         427     5.61196     5.61196
         428     5.61196     5.61196
         429     5.61196     5.61196
         430     5.61196     5.61196
         431     5.61196     5.61196
         432     5.61196     5.61196
         433     5.61196     5.61196
         434     5.61196     5.61196
         435     5.61196     5.61196
         436     5.61196     5.61196
         437     5.61196     5.61196
         438     5.61196     5.61196
         439     5.61196     5.61196
         440     5.61196     5.61196
         441     5.61196     5.61196
         442     5.61196     5.61196
         443     5.61196     5.61196
         444     5.61196     5.61462
         445     5.61196     5.61196
         446     5.61196     5.61196
         447     5.61196     5.61196
         448     5.61196     5.61196
         449     5.61196     5.61196
         450     5.61196     5.61196
         451     5.61196     5.61196
         452     5.61196     5.61196
         453     5.61196     5.61196
         454     5.61196     5.61196
         455     5.61196     5.61196
         456     5.61196     5.61196
         457     5.61196     5.61196
         458     5.61196     5.61196
         459     5.61196     5.61196
         460     5.61196     5.61196
         461     5.61196     5.61196
         462     5.61196     5.61196
         463     5.61196     5.61196
         464     5.61196     5.61196
         465     5.61196     5.61196
         466     5.61196     5.61196
         467     5.61196     5.61196
         468     5.61196     5.61196
         469     5.61196     5.61196
         470     5.61196     5.61196
         471     5.61196     5.61196
         472     5.61196     5.61196
         473     5.61196     5.61196
         474     5.61196     5.62728
         475     5.61196     5.61553
         476     5.61196     5.64885
         477     5.61196     5.63925
         478     5.61196     5.61196
         479     5.61196     5.61196
         480     5.61196     5.61196
         481     5.61196     5.62316
         482     5.61196     5.61844
