#     GENERATION:   L1:   BEST HALF <L1>:
         246     6.29878     6.29878
         247     6.29878     6.29878
         248     6.29878     6.29878
         249     6.29878     6.29878
         250     6.29878     6.29878
         251     6.29878     6.29878
         252     6.29878     6.29878
         253     6.29878     6.29878
         254     6.29878     6.29878
         255     6.29878     6.29878
         256     6.29878     6.29878
         257     6.29878     6.29878
         258     6.29878     6.29878
         259     6.29878     6.29878
         260     6.29878     6.29878
         261     6.29878     6.29878
         262     6.29878     6.29878
         263     6.29878     6.29878
         264     6.29878     6.29878
         265     6.29878     6.29878
         266     6.29878     6.29878
         267     6.29878     6.29878
         268     6.29878     6.29878
         269     6.29878     6.29878
         270     6.29878     6.29878
         271     6.29878     6.29878
         272     6.29878     6.29878
         273     6.29878     6.29878
         274     6.29878     6.29878
         275     6.29878     6.29878
         276     6.24306     6.29767
         277     6.24306     6.30232
         278     6.24306     6.27538
         279     6.24306      6.2564
         280     6.24306     6.25532
         281     6.24306     6.24974
         282     6.24306     6.24306
         283     6.24306     6.24306
         284     6.24306     6.24306
         285     6.24306     6.24306
         286     6.24306     6.24306
         287     6.24306     6.24306
         288     6.24306     6.24306
         289     6.24306     6.24306
         290     6.24306     6.41211
         291     6.24306      6.3575
         292     6.24306     6.28882
         293     6.24306     6.29184
         294     6.24306     6.33101
         295     6.24306     6.24875
         296     6.24306     6.24306
         297     6.24306     6.24306
         298     6.24306     6.24306
         299     6.24306     6.24306
         300     6.24306     6.24306
         301     6.24306     6.24306
         302     6.24306     6.25509
         303     6.24306     6.24306
         304     6.24306     6.24306
         305     6.24306     6.24306
         306     6.24306     6.24306
         307     6.24306     6.24306
         308     6.24306     6.24306
         309     6.24306     6.24306
         310     6.24306     6.24306
         311     6.24306     6.24306
         312     6.24306     6.24306
         313     6.24306     6.24306
         314     6.24306     6.24306
         315     6.24306     6.24306
         316     6.24306     6.24306
         317     6.24306     6.24306
         318     6.24306     6.24306
         319     6.24306     6.24306
         320     6.24306     6.24306
         321     6.24306     6.24306
         322     6.24306     6.24306
         323     6.24306     6.24306
         324     6.24306     6.24306
         325     6.24306     6.24306
         326     6.24306     6.24306
         327     6.24306     6.24306
         328     6.24306     6.24306
         329     6.24306     6.24306
         330     6.24306     6.24306
         331     6.24306     6.24306
         332     6.24306     6.24306
         333     6.24306     6.24306
         334     6.24306     6.24306
         335     6.24306     6.24306
         336     6.24306     6.24306
         337     6.24306     6.24306
         338     6.24306     6.24306
         339     6.24306     6.24306
         340     6.24306     6.24306
         341     6.24306     6.24306
         342     6.24306     6.24306
         343     6.24306     6.24306
         344     6.24306     6.24306
         345     6.24306     6.24306
         346     6.24306     6.24306
         347     6.24306     6.24306
         348     6.24306     6.24306
         349     6.24306     6.24306
         350     6.24306     6.24306
         351     6.24306     6.24306
         352     6.24306     6.24306
         353     6.24306     6.24306
         354     6.24306     6.24306
         355     6.24306     6.24306
         356     6.24306     6.24306
         357     6.24306     6.24306
         358     6.24306     6.24306
         359     6.24306     6.24306
         360     6.24306     6.24306
         361     6.24306     6.24306
         362     6.24306     6.24306
         363     6.24306     6.24306
         364     6.24306     6.24306
         365     6.24306     6.24306
         366     6.24306     6.24306
         367     6.24306     6.24306
         368     6.24306     6.24306
         369     6.24306     6.24306
         370     6.24306     6.24306
         371     6.24306     6.24306
         372     6.24306     6.24306
         373     6.24306     6.24306
         374     6.24306     6.24306
         375     6.24306     6.24306
         376     6.24306     6.24306
         377     6.24306     6.24306
         378     6.24306     6.24306
