#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
             165           0.108       0.0349576        0.013067
             166           0.112       0.0354217       0.0129965
             167            0.14       0.0360479       0.0129337
             168           0.048        0.036119       0.0128569
             169          -0.336       0.0339172        0.012968
             170           -0.26       0.0321882       0.0130065
             171           0.088       0.0325146       0.0129345
             172          -0.084       0.0318372       0.0128771
             173           0.008       0.0316994       0.0128034
             174           0.104       0.0321149       0.0127365
             175            0.12       0.0326171       0.0126736
             176           0.016       0.0325227        0.012602
             177           0.044       0.0325876       0.0125309
             178          -0.196       0.0313034       0.0125262
             179           0.112       0.0317542       0.0124643
             180           0.112          0.0322        0.012403
             181           0.112       0.0326409       0.0123423
             182           -0.04       0.0322418        0.012281
             183           0.316       0.0337923       0.0123114
             184          -0.016       0.0335217       0.0122474
             185            0.18       0.0343135       0.0122068
             186           -0.04        0.033914       0.0121477
             187          -0.216       0.0325775        0.012156
             188          -0.096       0.0318936       0.0121106
             189           0.088       0.0321905       0.0120502
             190           0.336       0.0337895       0.0120924
             191          -0.172        0.032712        0.012077
             192           0.064        0.032875       0.0120152
             193           0.348       0.0345078       0.0120633
             194           0.164       0.0351753       0.0120196
             195           0.128       0.0356513       0.0119674
             196           0.188       0.0364286       0.0119315
             197          -0.068       0.0358985       0.0118828
             198           -0.06       0.0354141       0.0118326
             199           0.032        0.035397       0.0117732
             200          -0.148         0.03448       0.0117499
             201          -0.208       0.0332736       0.0117533
             202          -0.264        0.031802       0.0117868
             203            0.02       0.0317438       0.0117289
             204           -0.02       0.0314902       0.0116742
             205          -0.164       0.0305366       0.0116561
             206             0.2       0.0313592       0.0116285
             207           0.016        0.031285       0.0115726
             208           0.112       0.0316731       0.0115234
             209            0.02       0.0316172       0.0114684
             210           0.156       0.0322095       0.0114291
             211           0.116       0.0326066       0.0113818
             212           0.192       0.0333585        0.011353
             213           -0.06       0.0329202       0.0113081
             214           0.068       0.0330841       0.0112565
             215           -0.16        0.032186       0.0112399
             216          -0.136       0.0314074       0.0112148
             217           0.008       0.0312995       0.0111636
             218          -0.192       0.0302752       0.0111593
             219           0.008       0.0301735       0.0111088
             220           0.068       0.0303455       0.0110596
             221           0.048       0.0304253       0.0110099
             222            0.36       0.0319099       0.0110599
             223           0.412       0.0336143       0.0111409
             224          -0.036       0.0333036       0.0110955
             225          -0.216       0.0321956       0.0111014
             226           0.116       0.0325664       0.0110584
             227           0.024       0.0325286       0.0110098
             228           0.204       0.0332807       0.0109872
             229           0.312       0.0344978       0.0110064
             230            0.36        0.035913       0.0110491
             231           0.192       0.0365887        0.011022
             232            0.06       0.0366897       0.0109749
             233          -0.244        0.035485       0.0109937
             234          -0.124       0.0348034       0.0109678
             235           0.028       0.0347745       0.0109212
             236           0.268       0.0357627       0.0109196
             237           0.012       0.0356624       0.0108739
             238           0.104       0.0359496        0.010832
             239           0.096       0.0362008       0.0107896
             240           -0.04       0.0358833       0.0107494
             241           0.032       0.0358672       0.0107048
             242           0.168       0.0364132       0.0106744
             243           0.148       0.0368724       0.0106404
             244           0.168       0.0374098       0.0106103
             245           0.012       0.0373061       0.0105675
             246          -0.192        0.036374       0.0105656
             247          -0.284       0.0350769       0.0106022
             248          -0.096       0.0345484       0.0105726
             249            0.14       0.0349719       0.0105386
             250          -0.244        0.033856       0.0105553
             251            0.06       0.0339602       0.0105138
             252            0.06       0.0340635       0.0104726
             253           0.308       0.0351462        0.010487
             254           0.244       0.0359685       0.0104779
             255           0.196       0.0365961       0.0104556
             256           0.404       0.0380312       0.0105128
             257           0.028       0.0379922        0.010472
             258           0.188       0.0385736       0.0104475
             259           0.068       0.0386873       0.0104078
             260           0.248       0.0394923       0.0103988
             261           0.132       0.0398467        0.010365
             262           0.112       0.0401221       0.0103291
             263           0.108       0.0403802       0.0102931
             264            -0.2       0.0394697       0.0102943
