#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         160      -0.456    -0.45785  0.00479282
         161        -0.4   -0.457491   0.0047765
         162      -0.424   -0.457284  0.00475149
         163      -0.416   -0.457031  0.00472908
         164      -0.384   -0.456585  0.00472117
         165      -0.472   -0.456679  0.00469348
         166       -0.36   -0.456096   0.0047012
         167      -0.392   -0.455713  0.00468869
         168      -0.432   -0.455571   0.0046629
         169      -0.464   -0.455621  0.00463558
         170       -0.48   -0.455765  0.00461053
         171      -0.464   -0.455813  0.00458382
         172       -0.48   -0.455953  0.00455932
         173       -0.48   -0.456092  0.00453509
         174      -0.464   -0.456138  0.00450925
         175      -0.464   -0.456183  0.00448371
         176      -0.408   -0.455909  0.00446658
         177       -0.48   -0.456045  0.00444342
         178      -0.512    -0.45636  0.00442956
         179      -0.384   -0.455955  0.00442323
         180      -0.352   -0.455378  0.00443619
         181      -0.488   -0.455558  0.00441535
         182      -0.504   -0.455824   0.0043991
         183      -0.544   -0.456306  0.00440137
         184       -0.52   -0.456652  0.00439104
         185      -0.528   -0.457038  0.00438421
         186      -0.528   -0.457419  0.00437721
         187      -0.432   -0.457283  0.00435591
         188      -0.456   -0.457277  0.00433275
         189        -0.4   -0.456974  0.00432041
         190      -0.432   -0.456842  0.00429967
         191      -0.544   -0.457298   0.0043013
         192      -0.376   -0.456875  0.00429969
         193      -0.416   -0.456663  0.00428262
         194      -0.432   -0.456536  0.00426244
         195      -0.448   -0.456492   0.0042408
         196      -0.432   -0.456367  0.00422101
         197      -0.424   -0.456203  0.00420278
         198      -0.576   -0.456808  0.00422488
         199      -0.504   -0.457045   0.0042103
         200      -0.592    -0.45772  0.00424297
         201      -0.368   -0.457274  0.00424528
         202      -0.424   -0.457109  0.00422745
         203      -0.512   -0.457379  0.00421527
         204      -0.464   -0.457412  0.00419473
         205      -0.496     -0.4576  0.00417849
         206      -0.424   -0.457437  0.00416139
         207        -0.4   -0.457159  0.00415053
         208      -0.432   -0.457038  0.00413233
         209      -0.344   -0.456498   0.0041478
         210      -0.416   -0.456305  0.00413253
         211       -0.48   -0.456417  0.00411447
         212      -0.408   -0.456189   0.0041014
         213      -0.416      -0.456  0.00408648
         214      -0.528   -0.456336  0.00408121
         215      -0.464   -0.456372  0.00406239
         216       -0.52   -0.456667  0.00405424
         217      -0.392   -0.456369   0.0040465
         218        -0.4    -0.45611  0.00403619
         219      -0.296   -0.455379  0.00408344
         220      -0.448   -0.455345  0.00406501
         221      -0.376   -0.454986  0.00406244
         222      -0.488   -0.455135  0.00404687
         223      -0.544   -0.455534  0.00404829
         224      -0.408   -0.455321  0.00403578
         225      -0.424   -0.455182  0.00402024
         226        -0.4   -0.454938  0.00400986
         227      -0.504   -0.455154  0.00399801
         228      -0.416   -0.454982  0.00398417
         229      -0.416   -0.454812   0.0039704
         230      -0.552   -0.455235  0.00397556
         231      -0.448   -0.455203  0.00395847
         232        -0.4   -0.454966  0.00394856
         233      -0.488   -0.455107  0.00393416
         234      -0.368   -0.454735  0.00393491
         235      -0.448   -0.454706  0.00391827
         236      -0.528   -0.455017  0.00391396
         237       -0.44   -0.454954  0.00389796
         238      -0.576   -0.455462  0.00391462
         239      -0.448   -0.455431  0.00389837
         240      -0.416   -0.455267  0.00388558
         241      -0.456    -0.45527  0.00386946
         242      -0.512   -0.455504  0.00386057
         243      -0.384    -0.45521  0.00385588
         244       -0.48   -0.455311  0.00384141
         245      -0.384    -0.45502  0.00383675
         246      -0.456   -0.455024  0.00382115
         247      -0.448   -0.454996  0.00380579
         248      -0.464   -0.455032  0.00379061
         249       -0.48   -0.455133  0.00377672
         250      -0.472     -0.4552  0.00376221
         251      -0.464   -0.455235  0.00374739
         252      -0.416   -0.455079  0.00373575
         253      -0.504   -0.455273  0.00372598
         254       -0.52   -0.455528  0.00372002
         255      -0.448   -0.455498  0.00370555
         256      -0.464   -0.455531  0.00369122
         257      -0.544   -0.455875  0.00369288
         258      -0.512   -0.456093  0.00368496
         259      -0.416   -0.455938  0.00367399
         260       -0.52   -0.456185  0.00366811
         261      -0.552   -0.456552  0.00367238
         262      -0.488   -0.456672  0.00366032
         263      -0.368   -0.456335   0.0036619
         264      -0.472   -0.456394  0.00364851
         265      -0.544   -0.456725  0.00364969
         266       -0.48   -0.456812  0.00363702
         267      -0.496   -0.456959  0.00362636
         268      -0.384   -0.456687  0.00362303
         269       -0.48   -0.456773   0.0036106
         270      -0.496   -0.456919  0.00360015
         271      -0.464   -0.456945  0.00358696
         272      -0.568   -0.457353  0.00359693
         273      -0.528   -0.457612  0.00359305
         274      -0.464   -0.457635  0.00358001
         275      -0.408   -0.457455  0.00357154
         276       -0.44   -0.457391  0.00355916
         277      -0.456   -0.457386  0.00354632
         278      -0.488   -0.457496  0.00353527
         279      -0.544   -0.457806  0.00353617
         280      -0.576   -0.458229  0.00354864
         281       -0.44   -0.458164  0.00353661
         282      -0.504   -0.458326   0.0035278
         283      -0.448    -0.45829  0.00351552
         284      -0.448   -0.458254  0.00350333
         285      -0.544   -0.458554  0.00350393
         286      -0.456   -0.458545  0.00349169
         287      -0.424   -0.458425   0.0034816
         288      -0.456   -0.458417  0.00346952
         289      -0.472   -0.458464  0.00345784
         290      -0.384   -0.458207  0.00345543
         291      -0.416   -0.458062   0.0034466
         292      -0.504   -0.458219  0.00343839
         293      -0.584   -0.458648  0.00345335
         294       -0.44   -0.458585  0.00344218
         295        -0.4   -0.458386  0.00343624
         296      -0.432   -0.458297  0.00342579
         297        -0.4   -0.458101  0.00341987
         298      -0.472   -0.458148  0.00340871
         299      -0.384     -0.4579  0.00340632
         300      -0.464    -0.45792  0.00339503
         301      -0.528   -0.458153  0.00339172
         302       -0.52   -0.458358  0.00338667
         303      -0.432   -0.458271  0.00337661
         304      -0.424   -0.458158  0.00336738
         305      -0.448   -0.458125   0.0033565
         306       -0.44   -0.458065  0.00334606
         307      -0.432    -0.45798  0.00333624
         308      -0.536   -0.458234  0.00333501
         309       -0.48   -0.458304  0.00332496
         310      -0.472   -0.458348  0.00331453
         311      -0.432   -0.458264  0.00330495
         312      -0.504    -0.45841  0.00329761
         313      -0.336   -0.458019  0.00331018
         314       -0.48   -0.458089  0.00330038
         315        -0.4   -0.457905  0.00329505
         316       -0.48   -0.457975  0.00328536
         317        -0.4   -0.457792  0.00328009
         318      -0.456   -0.457786  0.00326978
         319      -0.544   -0.458056  0.00327068
         320      -0.432   -0.457975  0.00326147
         321      -0.392   -0.457769  0.00325778
         322      -0.504   -0.457913  0.00325082
         323      -0.456   -0.457907  0.00324076
         324      -0.496   -0.458025  0.00323289
         325       -0.52   -0.458215  0.00322857
         326      -0.384   -0.457988  0.00322668
         327      -0.464   -0.458006  0.00321686
         328      -0.488   -0.458098  0.00320836
         329      -0.392   -0.457897  0.00320489
         330      -0.464   -0.457915  0.00319523
         331      -0.512   -0.458079  0.00318975
         332      -0.424   -0.457976  0.00318179
         333      -0.472   -0.458018  0.00317252
         334      -0.448   -0.457988  0.00316316
         335      -0.576    -0.45834  0.00317328
         336      -0.488   -0.458429  0.00316506
         337       -0.44   -0.458374  0.00315614
         338      -0.376    -0.45813   0.0031562
         339       -0.52   -0.458313  0.00315216
         340      -0.504   -0.458447  0.00314575
         341      -0.608   -0.458886  0.00316695
         342      -0.552   -0.459158  0.00316937
         343       -0.44   -0.459102  0.00316062
         344      -0.472    -0.45914  0.00315166
         345      -0.464   -0.459154  0.00314255
         346      -0.392    -0.45896  0.00313946
         347      -0.408   -0.458813  0.00313384
         348       -0.52   -0.458989  0.00312977
         349      -0.464   -0.459003  0.00312083
         350      -0.416    -0.45888  0.00311433
         351      -0.472   -0.458917  0.00310569
         352      -0.456   -0.458909  0.00309687
         353      -0.488   -0.458992   0.0030892
         354      -0.568   -0.459299  0.00309578
         355      -0.472   -0.459335  0.00308727
         356       -0.44   -0.459281  0.00307907
         357      -0.384    -0.45907  0.00307766
         358      -0.424   -0.458972  0.00307062
         359      -0.512    -0.45912  0.00306562
         360      -0.512   -0.459267  0.00306062
         361      -0.432   -0.459191  0.00305307
         362      -0.496   -0.459293  0.00304633
         363      -0.488   -0.459372  0.00303897
         364      -0.432   -0.459297  0.00303155
         365      -0.496   -0.459397  0.00302491
         366       -0.44   -0.459344  0.00301711
         367      -0.456   -0.459335   0.0030089
         368      -0.488   -0.459413  0.00300173
         369      -0.512   -0.459556  0.00299698
         370      -0.456   -0.459546   0.0029889
         371      -0.392   -0.459364  0.00298638
         372      -0.424   -0.459269  0.00297986
         373       -0.44   -0.459217  0.00297232
         374       -0.48   -0.459273  0.00296489
         375      -0.408   -0.459136  0.00296014
         376      -0.464   -0.459149  0.00295229
         377      -0.352   -0.458865  0.00295811
         378      -0.416   -0.458751  0.00295246
         379      -0.544   -0.458976  0.00295323
         380      -0.568   -0.459263  0.00295936
         381      -0.464   -0.459276  0.00295162
         382      -0.464   -0.459288  0.00294392
         383      -0.408   -0.459154  0.00293927
         384       -0.48   -0.459208  0.00293212
         385      -0.392   -0.459034   0.0029297
         386      -0.288   -0.458591  0.00295542
         387      -0.416   -0.458481  0.00294983
         388      -0.448   -0.458454  0.00294236
         389       -0.48   -0.458509  0.00293531
         390      -0.512   -0.458646  0.00293099
         391      -0.544   -0.458864  0.00293161
         392      -0.504    -0.45898  0.00292639
         393      -0.504   -0.459094  0.00292119
         394      -0.408   -0.458964  0.00291665
         395      -0.368   -0.458734  0.00291834
         396      -0.456   -0.458727  0.00291098
         397       -0.44    -0.45868  0.00290403
         398      -0.488   -0.458754  0.00289767
         399      -0.496   -0.458847  0.00289191
         400      -0.392    -0.45868  0.00288951
         401       -0.56   -0.458933  0.00289333
         402      -0.512   -0.459065  0.00288914
         403      -0.456   -0.459057  0.00288198
         404      -0.488   -0.459129  0.00287574
         405       -0.52   -0.459279  0.00287256
         406        -0.6   -0.459626  0.00288632
         407      -0.432   -0.459558  0.00288003
         408      -0.376   -0.459353  0.00288024
         409      -0.472   -0.459384  0.00287336
         410       -0.56   -0.459629  0.00287682
         411      -0.544   -0.459835  0.00287713
         412      -0.392    -0.45967  0.00287486
         413      -0.464    -0.45968  0.00286791
         414       -0.52   -0.459826  0.00286468
         415       -0.48   -0.459875  0.00285819
         416       -0.52   -0.460019  0.00285498
         417      -0.432   -0.459952  0.00284892
         418      -0.496   -0.460038  0.00284341
         419      -0.552   -0.460258  0.00284508
         420       -0.44    -0.46021  0.00283872
         421        -0.4   -0.460067  0.00283557
         422      -0.448   -0.460038    0.002829
         423      -0.448   -0.460009  0.00282245
         424      -0.536   -0.460189  0.00282148
         425       -0.36   -0.459953  0.00282467
         426      -0.368   -0.459737  0.00282628
         427      -0.448    -0.45971  0.00281979
         428      -0.408   -0.459589  0.00281579
         429      -0.496   -0.459674  0.00281051
         430      -0.464   -0.459684  0.00280399
         431      -0.408   -0.459564  0.00280005
         432       -0.44   -0.459519  0.00279393
         433      -0.448   -0.459492   0.0027876
         434       -0.52   -0.459631  0.00278467
         435      -0.424   -0.459549  0.00277947
         436      -0.584   -0.459835  0.00278771
         437      -0.432   -0.459771  0.00278206
         438      -0.496   -0.459854  0.00277694
         439      -0.528   -0.460009  0.00277495
         440      -0.528   -0.460164  0.00277294
         441      -0.456   -0.460154  0.00276667
         442      -0.408   -0.460036  0.00276292
         443      -0.472   -0.460063  0.00275682
         444      -0.424   -0.459982  0.00275181
         445      -0.592   -0.460279  0.00276157
         446      -0.448   -0.460251  0.00275551
         447      -0.472   -0.460277  0.00274947
         448      -0.544   -0.460464  0.00274968
         449      -0.456   -0.460454  0.00274357
         450      -0.408   -0.460338  0.00273995
         451      -0.392   -0.460186  0.00273806
         452      -0.488   -0.460248   0.0027327
         453      -0.536   -0.460415  0.00273178
         454      -0.472   -0.460441  0.00272588
         455      -0.552   -0.460642  0.00272731
         456       -0.48   -0.460684  0.00272166
         457      -0.528   -0.460832  0.00271968
         458      -0.512   -0.460943  0.00271604
         459       -0.36   -0.460723  0.00271901
         460      -0.424   -0.460643  0.00271427
         461      -0.496    -0.46072  0.00270947
         462      -0.392   -0.460571  0.00270768
         463      -0.408   -0.460458  0.00270421
         464       -0.48     -0.4605  0.00269871
         465      -0.456    -0.46049  0.00269293
         466      -0.488   -0.460549  0.00268779
         467      -0.536   -0.460711  0.00268689
         468      -0.552   -0.460906  0.00268822
         469      -0.344   -0.460657  0.00269402
         470      -0.448    -0.46063  0.00268842
         471      -0.472   -0.460654  0.00268282
         472      -0.432   -0.460593  0.00267783
         473      -0.344   -0.460347  0.00268349
         474      -0.464   -0.460354  0.00267784
         475      -0.384   -0.460194  0.00267702
         476      -0.464   -0.460202  0.00267141
         477      -0.568   -0.460428  0.00267535
         478      -0.488   -0.460485  0.00267037
         479       -0.44   -0.460443  0.00266514
         480      -0.472   -0.460467   0.0026597
         481      -0.544    -0.46064  0.00265983
         482      -0.336   -0.460382  0.00266685
         483      -0.368    -0.46019  0.00266818
         484      -0.544   -0.460364  0.00266828
         485      -0.392   -0.460223   0.0026665
         486      -0.408   -0.460115  0.00266318
         487      -0.536   -0.460271  0.00266227
         488      -0.528    -0.46041  0.00266042
         489      -0.488   -0.460466  0.00265558
         490      -0.464   -0.460473  0.00265017
         491      -0.424   -0.460399  0.00264582
         492      -0.376   -0.460228  0.00264599
         493      -0.536   -0.460381  0.00264509
         494      -0.496   -0.460453  0.00264071
         495        -0.4   -0.460331   0.0026382
         496       -0.44    -0.46029   0.0026332
         497      -0.464   -0.460298  0.00262791
         498      -0.368   -0.460112  0.00262916
         499      -0.392   -0.459976  0.00262744
         500      -0.448   -0.459952  0.00262229
         501      -0.408   -0.459848  0.00261911
         502      -0.416   -0.459761  0.00261535
         503      -0.464   -0.459769  0.00261016
         504      -0.496   -0.459841  0.00260597
         505      -0.384   -0.459691  0.00260513
         506      -0.416   -0.459605  0.00260142
         507       -0.44   -0.459566  0.00259657
         508      -0.512   -0.459669  0.00259351
         509      -0.344   -0.459442  0.00259835
         510       -0.48   -0.459482  0.00259357
         511       -0.44   -0.459444  0.00258878
         512       -0.48   -0.459484  0.00258403
         513      -0.552   -0.459665  0.00258528
         514       -0.52   -0.459782  0.00258291
         515      -0.488   -0.459837  0.00257848
         516      -0.472    -0.45986  0.00257359
         517      -0.448   -0.459838  0.00256871
         518      -0.408   -0.459737   0.0025657
         519       -0.48   -0.459776  0.00256106
         520      -0.424   -0.459708  0.00255706
         521      -0.352   -0.459501  0.00256049
         522      -0.496   -0.459571  0.00255654
         523      -0.608   -0.459855  0.00256736
         524       -0.56   -0.460046  0.00256956
         525      -0.424   -0.459977  0.00256558
         526      -0.488    -0.46003  0.00256126
         527      -0.592   -0.460281  0.00256861
         528       -0.44   -0.460242  0.00256403
         529      -0.496    -0.46031  0.00256008
         530      -0.424   -0.460242  0.00255616
         531      -0.368   -0.460068  0.00255725
         532       -0.52    -0.46018  0.00255492
         533      -0.512   -0.460278  0.00255197
         534      -0.424    -0.46021   0.0025481
         535      -0.384   -0.460067  0.00254732
         536      -0.408    -0.45997  0.00254441
         537      -0.432   -0.459918  0.00254021
         538       -0.48   -0.459955  0.00253576
         539      -0.504   -0.460037  0.00253237
         540      -0.536   -0.460178  0.00253159
         541      -0.432   -0.460126  0.00252744
         542      -0.464   -0.460133  0.00252279
         543       -0.48   -0.460169  0.00251841
         544      -0.512   -0.460265  0.00251558
         545       -0.56   -0.460448  0.00251761
         546      -0.408   -0.460352  0.00251484
         547      -0.464   -0.460358  0.00251025
         548      -0.432   -0.460307   0.0025062
         549      -0.488   -0.460357  0.00250214
         550      -0.496   -0.460422  0.00249843
         551      -0.472   -0.460443  0.00249399
         552      -0.608    -0.46071  0.00250375
         553      -0.456   -0.460702  0.00249924
         554       -0.52   -0.460809  0.00249702
         555      -0.296   -0.460512  0.00251012
         556      -0.456   -0.460504  0.00250561
         557      -0.408   -0.460409  0.00250289
         558      -0.432   -0.460358  0.00249892
         559       -0.36   -0.460179  0.00250089
         560      -0.552   -0.460343  0.00250179
         561      -0.456   -0.460335  0.00249735
         562       -0.44   -0.460299  0.00249316
         563       -0.44   -0.460263    0.002489
         564      -0.472   -0.460284  0.00248467
         565      -0.448   -0.460262  0.00248037
         566       -0.44   -0.460226  0.00247624
         567      -0.512   -0.460317  0.00247356
         568       -0.44   -0.460282  0.00246946
         569      -0.456   -0.460274  0.00246514
         570      -0.512   -0.460365  0.00246248
         571      -0.424   -0.460301  0.00245899
         572      -0.448    -0.46028  0.00245479
         573      -0.496   -0.460342  0.00245129
         574      -0.464   -0.460348  0.00244703
         575      -0.496    -0.46041  0.00244356
         576      -0.376   -0.460264  0.00244371
         577      -0.472   -0.460284  0.00243956
         578      -0.464   -0.460291  0.00243535
         579       -0.44   -0.460256  0.00243139
         580      -0.512   -0.460345  0.00242884
         581       -0.44    -0.46031  0.00242491
         582      -0.416   -0.460234  0.00242194
         583       -0.52   -0.460336  0.00241995
         584      -0.512   -0.460425  0.00241742
         585      -0.504   -0.460499  0.00241444
         586       -0.48   -0.460532  0.00241055
         587      -0.424    -0.46047  0.00240724
         588      -0.456   -0.460463  0.00240316
         589       -0.48   -0.460496  0.00239931
         590      -0.392    -0.46038  0.00239805
         591       -0.48   -0.460413  0.00239422
         592      -0.456   -0.460405  0.00239019
         593      -0.504   -0.460479  0.00238729
         594      -0.592     -0.4607  0.00239352
         595       -0.44   -0.460666  0.00238975
         596      -0.432   -0.460617  0.00238622
         597        -0.4   -0.460516  0.00238438
         598      -0.408   -0.460428  0.00238201
         599      -0.616   -0.460688  0.00239215
         600      -0.496   -0.460747  0.00238889
         601      -0.504   -0.460819    0.002386
         602      -0.544   -0.460957  0.00238603
         603       -0.48   -0.460988  0.00238229
         604      -0.472   -0.461007  0.00237841
         605      -0.512   -0.461091  0.00237597
         606      -0.432   -0.461043  0.00237254
         607      -0.344    -0.46085  0.00237645
         608       -0.36   -0.460684  0.00237833
         609        -0.4   -0.460585  0.00237651
         610      -0.448   -0.460564   0.0023727
         611      -0.376   -0.460426  0.00237285
         612      -0.408    -0.46034  0.00237052
         613      -0.384   -0.460215  0.00236992
         614      -0.504   -0.460287  0.00236713
         615      -0.528   -0.460397  0.00236584
         616      -0.472   -0.460416  0.00236208
         617      -0.424   -0.460357  0.00235899
         618      -0.432   -0.460311  0.00235562
         619      -0.496   -0.460368  0.00235252
         620       -0.44   -0.460335  0.00234895
         621      -0.464   -0.460341  0.00234518
         622      -0.416    -0.46027  0.00234249
         623      -0.472   -0.460289   0.0023388
         624      -0.552   -0.460436  0.00233967
         625      -0.456   -0.460429  0.00233594
         626      -0.568   -0.460601  0.00233852
         627       -0.48   -0.460632  0.00233499
         628      -0.576   -0.460815  0.00233849
         629      -0.536   -0.460935  0.00233782
         630      -0.608   -0.461168  0.00234574
         631      -0.568   -0.461338  0.00234812
         632      -0.544   -0.461468  0.00234805
         633       -0.56   -0.461624  0.00234949
         634      -0.384   -0.461502  0.00234898
