#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
             169          0.3048         0.15236      0.00592793
             170            0.18        0.152522      0.00589529
             171          0.0488        0.151916      0.00589194
             172           0.084        0.151521       0.0058709
             173           0.164        0.151593      0.00583741
             174          0.2088        0.151922      0.00581311
             175          0.1448        0.151881      0.00578004
             176          0.0992        0.151582      0.00575494
             177           0.132        0.151471      0.00572349
             178          0.0392         0.15084      0.00572598
             179          0.0648         0.15036      0.00571413
             180          0.1032        0.150098      0.00568839
             181          0.1312        0.149993      0.00565792
             182          0.2528        0.150558      0.00565496
             183          0.1448        0.150527      0.00562415
             184           0.384        0.151796      0.00573493
             185          0.1352        0.151706      0.00570464
             186          0.2312        0.152133      0.00568995
             187          0.1832        0.152299      0.00566195
             188          0.2208        0.152664      0.00564355
             189           0.244        0.153147      0.00563434
             190          0.2152        0.153474      0.00561414
             191          0.2248        0.153847      0.00559715
             192          0.1728        0.153946      0.00556887
             193          0.2088         0.15423      0.00554727
             194          0.1832        0.154379      0.00552068
             195          0.0552        0.153871      0.00551575
             196          0.0712        0.153449      0.00550371
             197          0.2208        0.153791      0.00548638
             198          0.0968        0.153503      0.00546622
             199          0.0448        0.152957      0.00546598
             200          0.1672        0.153028      0.00543911
             201          0.0552        0.152541      0.00543378
             202          0.1248        0.152404      0.00540862
             203          0.1832        0.152556       0.0053841
             204          0.0968        0.152282      0.00536464
             205          0.1768        0.152402       0.0053398
             206          0.2048        0.152656      0.00531994
             207           0.228         0.15302      0.00530667
             208          0.1512        0.153012      0.00528117
             209          0.2208        0.153336      0.00526585
             210          0.1608        0.153371       0.0052409
             211           0.196        0.153573      0.00521995
             212          0.2432        0.153996      0.00521242
             213          0.2248        0.154329      0.00519854
             214          0.2312        0.154688      0.00518664
             215          0.1128        0.154493      0.00516617
             216            0.08        0.154148      0.00515375
             217          0.2112        0.154411      0.00513671
             218            0.26        0.154895      0.00513593
             219          0.1888         0.15505      0.00511481
             220          0.1672        0.155105      0.00509186
             221          0.0928        0.154824      0.00507662
             222          0.1952        0.155005      0.00505701
             223          0.1768        0.155103      0.00503527
             224          0.1792        0.155211      0.00501394
             225          0.1568        0.155218      0.00499166
             226           0.148        0.155186      0.00496968
             227          0.2208        0.155475      0.00495619
             228          0.0808        0.155147      0.00494526
             229          0.1768        0.155242      0.00492457
             230          0.0672        0.154859      0.00491801
             231          0.0712        0.154497      0.00491004
             232           0.116        0.154331      0.00489168
             233          0.1312        0.154232      0.00487169
             234          0.0872        0.153945      0.00485928
             235          0.1672        0.154002      0.00483893
             236          0.1352        0.153922      0.00481909
             237           0.112        0.153745        0.004802
             238          0.0648        0.153371      0.00479634
             239          0.1192        0.153228       0.0047784
             240          0.0648         0.15286      0.00477268
             241          0.2208        0.153142      0.00476119
             242          0.1992        0.153332      0.00474532
             243          0.0648        0.152968      0.00473976
             244           0.084        0.152685      0.00472875
             245          0.0968        0.152457      0.00471495
             246          0.0768         0.15215       0.0047058
             247          0.2632        0.152599      0.00470818
             248          0.1608        0.152632      0.00468931
             249             0.1        0.152421      0.00467524
             250          0.1472          0.1524      0.00465659
             251          0.2568        0.152816      0.00465657
             252          0.2088        0.153038      0.00464339
             253          0.2528        0.153432      0.00464175
             254           0.176        0.153521      0.00462433
             255          0.1512        0.153512       0.0046062
             256          0.0968        0.153291      0.00459353
             257          0.0808        0.153009      0.00458431
             258          0.0232        0.152505      0.00459407
             259          0.0968         0.15229      0.00458136
             260           0.256        0.152689      0.00458107
             261          0.0512          0.1523      0.00457999
             262          0.0832        0.152037       0.0045701
             263          0.3752        0.152885      0.00463083
             264          0.0992        0.152682      0.00461775
             265          0.1928        0.152833      0.00460281
             266           0.116        0.152695      0.00458758
             267          0.0968        0.152485      0.00457518
             268          0.0968        0.152278      0.00456282
             269           0.036        0.151845      0.00456629
             270          0.0648        0.151523      0.00456074
             271          0.1448        0.151498      0.00454398
             272          0.1792          0.1516      0.00452841
             273          0.1192        0.151481      0.00451338
             274          0.0488        0.151107      0.00451244
             275          0.0672        0.150801      0.00450634
             276            0.24        0.151125      0.00450158
             277          0.2848        0.151607      0.00451112
             278          0.1152        0.151476       0.0044968
             279          0.1608         0.15151       0.0044808
             280          0.3368        0.152171       0.0045134
             281            0.08        0.151915      0.00450464
             282          0.1728        0.151989      0.00448928
             283          0.1352        0.151929      0.00447381
             284          0.1352         0.15187      0.00445844
             285          0.1448        0.151846      0.00444287
             286          0.3328        0.152478      0.00447216
             287          0.1248        0.152382      0.00445761
             288          0.0448        0.152008      0.00445776
             289          0.1792        0.152102      0.00444333
             290          0.0808        0.151857       0.0044348
             291          0.2408        0.152162      0.00443008
             292          0.1088        0.152014       0.0044174
             293          0.1088        0.151866      0.00440479
             294           0.032        0.151459      0.00440863
             295           0.132        0.151393      0.00439418
             296          0.1032         0.15123      0.00438235
             297           0.116        0.151111       0.0043692
             298          0.1472        0.151098      0.00435456
             299          0.3048        0.151612      0.00437023
             300          0.0648        0.151323      0.00436523
             301          0.1512        0.151322      0.00435073
             302           0.368         0.15204      0.00439509
             303          0.3592        0.152723      0.00443344
             304          0.1248        0.152632      0.00441981
             305          0.1032         0.15247      0.00440829
             306           0.368        0.153174      0.00444979
             307          0.3592        0.153845      0.00448562
             308          0.1888        0.153958      0.00447249
             309           0.148        0.153939      0.00445806
             310          0.1152        0.153814      0.00444543
             311          0.1032        0.153651      0.00443411
             312          0.1888        0.153764      0.00442133
             313          0.1768        0.153838      0.00440782
             314            0.26        0.154176      0.00440673
             315           0.212        0.154359      0.00439656
             316           0.212        0.154542      0.00438643
             317            0.34        0.155127      0.00441144
             318          0.1408        0.155082      0.00439779
             319          0.1128        0.154949        0.004386
             320          0.0872        0.154737      0.00437741
             321          0.1312        0.154664      0.00436438
             322          0.1408        0.154621      0.00435104
             323          0.1728        0.154677      0.00433793
             324          0.1928        0.154795      0.00432614
             325           0.288        0.155205       0.0043322
             326          0.2248        0.155418      0.00432417
             327          0.0648        0.155141      0.00431982
             328          0.1472        0.155117      0.00430671
             329          0.1312        0.155044      0.00429424
             330          0.1448        0.155013      0.00428134
             331          0.2472        0.155292      0.00427745
             332          0.1728        0.155345      0.00426489
             333          0.0992        0.155176      0.00425542
             334          0.1032         0.15502      0.00424552
             335          0.1928        0.155133      0.00423434
             336          0.2272        0.155348      0.00422717
             337           0.128        0.155266      0.00421541
             338          0.1568        0.155271      0.00420294
             339            0.08        0.155049       0.0041964
             340          0.0768        0.154819      0.00419036
             341          0.0712        0.154574      0.00418524
             342          0.1632        0.154599      0.00417308
