#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
             184           0.808         1.33141       0.0883016
             185             0.8         1.32854        0.087871
             186           1.448         1.32918       0.0874009
             187           2.152         1.33358       0.0870442
             188             1.6           1.335       0.0865927
             189           0.772         1.33202       0.0861858
             190           2.936         1.34046       0.0861446
             191           2.332         1.34565       0.0858499
             192           1.304         1.34544        0.085403
             193           3.808          1.3582       0.0859084
             194           2.144         1.36225        0.085561
             195           0.828         1.35951       0.0851661
             196           1.636         1.36092       0.0847432
             197           0.596         1.35704        0.084402
             198           1.776         1.35915       0.0840022
             199           0.492         1.35479        0.083693
             200           1.368         1.35486       0.0832746
             201           1.912         1.35763       0.0829064
             202           2.608         1.36382       0.0827267
             203           0.268         1.35842       0.0824952
             204           0.388         1.35367       0.0822278
             205           1.468         1.35422       0.0818286
             206           2.264         1.35864       0.0815505
             207           0.696         1.35544       0.0812193
             208           0.512         1.35138         0.08093
             209           1.272           1.351       0.0805437
             210           1.248         1.35051       0.0801616
             211           0.672          1.3473       0.0798462
             212           0.308          1.3424       0.0796199
             213           1.864         1.34485       0.0792837
             214           0.756         1.34209        0.078961
             215           1.884         1.34461       0.0786339
             216           1.064         1.34331       0.0782806
             217           0.824         1.34092       0.0779565
             218           1.916         1.34356       0.0776435
             219           0.324          1.3389       0.0774284
             220           0.776         1.33635       0.0771187
             221           0.448         1.33233       0.0768744
             222             3.7         1.34299       0.0772644
             223           4.012         1.35496       0.0778394
             224           0.308         1.35029       0.0776321
             225           1.728         1.35196       0.0773053
             226            0.74         1.34926       0.0770106
             227           0.652         1.34619       0.0767326
             228           1.224         1.34565       0.0763979
             229           2.864         1.35228       0.0763515
             230           3.284         1.36068       0.0764801
             231           0.968         1.35898       0.0761679
             232           0.372         1.35472       0.0759583
             233               2         1.35749       0.0756827
             234           1.836         1.35954       0.0753869
             235           0.436         1.35561       0.0751685
             236           1.476         1.35612       0.0748517
             237           0.744         1.35354       0.0745804
             238           0.692         1.35076       0.0743188
             239           0.884          1.3488       0.0740335
             240            0.64         1.34585        0.073784
             241           0.884         1.34393       0.0735027
             242            1.42         1.34425       0.0731996
             243           0.412         1.34041       0.0729989
             244           1.396         1.34064          0.0727
             245            0.28         1.33631       0.0725321
             246           1.336         1.33631       0.0722372
             247           4.148         1.34769       0.0728362
             248           1.016         1.34635       0.0725547
             249            0.58         1.34328       0.0723286
             250            2.18         1.34662       0.0721167
             251           0.964          1.3451       0.0718455
             252           0.288          1.3409       0.0716827
             253           3.104         1.34787       0.0717373
             254           3.044         1.35455        0.071765
             255           1.108         1.35358       0.0714901
             256           1.244         1.35316       0.0712121
             257           1.088         1.35212       0.0709425
             258           0.656         1.34943       0.0707188
             259           1.152         1.34866       0.0704499
             260           1.864         1.35065       0.0702068
             261           0.568         1.34765       0.0700018
             262           0.364         1.34389       0.0698353
             263           1.016         1.34265       0.0695809
             264             1.5         1.34324       0.0693199
             265           0.316         1.33937       0.0691666
             266           0.696         1.33695       0.0689488
             267           1.664         1.33817       0.0687015
             268           1.028         1.33701       0.0684549
             269           1.696         1.33835       0.0682134
             270           2.152         1.34136       0.0680273
             271           0.668         1.33888       0.0678216
             272           0.396         1.33541       0.0676608
             273            2.08         1.33814       0.0674679
             274           1.056         1.33711       0.0672295
             275            0.66         1.33465       0.0670301
             276           5.588         1.35006       0.0685359
             277           0.716         1.34777       0.0683267
             278            1.22         1.34731       0.0680825
             279            2.78         1.35244       0.0680318
             280            0.54         1.34954       0.0678507
             281           0.864         1.34781       0.0676312
             282           1.036         1.34671       0.0674004
             283            1.04         1.34563        0.067171
             284           0.684          1.3433       0.0669749
             285           2.844         1.34856       0.0669465
             286           2.624         1.35302       0.0668608
             287           1.704         1.35424        0.066639
             288           0.508         1.35131       0.0664724
             289           0.852         1.34958       0.0662648
             290            1.04         1.34851       0.0660449
             291           0.728         1.34638       0.0658524
             292           4.348         1.35666       0.0664243
             293            4.98         1.36902       0.0673389
             294           2.196         1.37184       0.0671686
             295           1.288         1.37155       0.0669415
             296            1.76         1.37286       0.0667282
             297           0.976         1.37153       0.0665169
             298           0.188         1.36756       0.0664122
             299           0.616         1.36504       0.0662376
             300           0.248         1.36132       0.0661214
             301           1.616         1.36217       0.0659071
             302           1.108         1.36132       0.0656943
             303           0.448         1.35831       0.0655466
             304           0.736         1.35626       0.0653629
             305           0.568         1.35368       0.0651997
             306           0.612         1.35125       0.0650317
             307           1.412         1.35145       0.0648201
             308           1.448         1.35177       0.0646104
             309           0.524         1.34909       0.0644569
             310           1.364         1.34914        0.064249
             311           2.236         1.35199       0.0641056
             312           0.408         1.34896       0.0639715
             313           1.704          1.3501       0.0637772
             314            1.22         1.34968       0.0635754
             315           1.348         1.34968       0.0633736
             316           0.568          1.3472       0.0632213
             317           0.248         1.34374       0.0631169
             318            1.28         1.34353       0.0629187
             319           0.356         1.34044       0.0627976
             320            0.34         1.33731       0.0626791
             321           1.872         1.33898        0.062506
             322           0.544         1.33651       0.0623606
             323           1.792         1.33792       0.0621835
             324           1.492          1.3384       0.0619934
             325           0.112         1.33462       0.0619174
             326           0.536         1.33217       0.0617759
             327           0.308         1.32904       0.0616663
             328           5.348         1.34129       0.0626838
             329           1.716         1.34243       0.0625036
             330            0.54            1.34       0.0623615
             331           1.708         1.34111        0.062183
             332           0.664         1.33907       0.0620291
             333           1.496         1.33954       0.0618447
             334           1.236         1.33923       0.0616603
             335           0.816         1.33767        0.061496
             336           0.624         1.33555       0.0613496
             337           1.156         1.33501       0.0611699
             338           0.516         1.33259       0.0610369
             339           0.508         1.33016       0.0609053
             340           0.672         1.32822       0.0607569
             341           0.928         1.32705       0.0605901
             342            1.18         1.32662       0.0604144
             343           0.912         1.32541       0.0602504
             344           1.144         1.32488       0.0600776
             345           0.776         1.32329       0.0599245
             346            1.38         1.32346       0.0597515
             347            0.22         1.32028       0.0596639
             348           0.696         1.31848       0.0595194
             349           1.844         1.31999       0.0593679
             350           2.088         1.32218       0.0592388
             351           0.448         1.31969       0.0591224
             352           1.248         1.31949       0.0589548
             353           0.652          1.3176       0.0588181
             354           4.856         1.32759       0.0594952
             355           0.284         1.32465       0.0594002
             356           1.184         1.32426       0.0592346
             357            1.26         1.32408        0.059069
             358           0.252         1.32108       0.0589798
             359            0.52         1.31885       0.0588577
             360            1.28         1.31874       0.0586943
             361            0.68         1.31698       0.0585584
             362           1.104         1.31639       0.0583996
             363            1.68         1.31739       0.0582473
             364           2.976         1.32195       0.0582653
             365           1.344         1.32201       0.0581057
             366           0.552          1.3199        0.057985
             367           1.284          1.3198       0.0578271
             368            0.62          1.3179       0.0577012
             369           1.652         1.31881       0.0575519
             370           2.596         1.32226       0.0574998
             371            0.66         1.32047       0.0573725
             372           3.236         1.32562       0.0574489
             373           0.452         1.32328       0.0573426
             374            0.74         1.32172       0.0572105
             375           1.056         1.32101       0.0570623
             376            1.02         1.32021       0.0569162
