#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         153     1.42204     1.42215 1.43187e-05
         154     1.42208     1.42215 1.42331e-05
         155     1.42209     1.42215 1.41474e-05
         156     1.42229     1.42215 1.40854e-05
         157      1.4223     1.42215 1.40265e-05
         158     1.42231     1.42215 1.39726e-05
         159     1.42233     1.42215 1.39308e-05
         160     1.42241     1.42216 1.39339e-05
         161     1.42239     1.42216 1.39236e-05
         162     1.42238     1.42216  1.3903e-05
         163     1.42211     1.42216 1.38203e-05
         164     1.42215     1.42216  1.3736e-05
         165     1.42216     1.42216 1.36528e-05
         166     1.42206     1.42216 1.35839e-05
         167     1.42218     1.42216 1.35035e-05
         168     1.42224     1.42216 1.34327e-05
         169     1.42229     1.42216 1.33746e-05
         170     1.42218     1.42216 1.32967e-05
         171     1.42222     1.42216 1.32243e-05
         172     1.42238     1.42216 1.32122e-05
         173     1.42209     1.42216 1.31425e-05
         174     1.42213     1.42216  1.3068e-05
         175     1.42235     1.42216 1.30372e-05
         176     1.42216     1.42216 1.29631e-05
         177     1.42225     1.42216 1.28994e-05
         178     1.42207     1.42216 1.28362e-05
         179      1.4221     1.42216 1.27688e-05
         180     1.42199     1.42216 1.27329e-05
         181     1.42192     1.42216 1.27322e-05
         182     1.42196     1.42216 1.27076e-05
         183      1.4221     1.42216 1.26415e-05
         184     1.42195     1.42216 1.26241e-05
         185     1.42194     1.42215 1.26085e-05
         186     1.42206     1.42215 1.25511e-05
         187      1.4221     1.42215 1.24868e-05
         188     1.42194     1.42215 1.24731e-05
         189     1.42201     1.42215 1.24315e-05
         190     1.42185     1.42215 1.24666e-05
         191     1.42222     1.42215 1.24062e-05
         192     1.42189     1.42215 1.24144e-05
         193     1.42197     1.42215 1.23859e-05
         194     1.42216     1.42215 1.23222e-05
         195     1.42202     1.42215 1.22766e-05
         196     1.42232     1.42215 1.22452e-05
         197     1.42187     1.42215 1.22656e-05
         198     1.42219     1.42215 1.22053e-05
         199     1.42211     1.42215 1.21452e-05
         200      1.4222     1.42215 1.20872e-05
         201     1.42204     1.42215  1.2039e-05
         202     1.42202     1.42215 1.19955e-05
         203     1.42219     1.42215 1.19386e-05
         204     1.42226     1.42215 1.18929e-05
         205     1.42182     1.42215  1.1943e-05
         206     1.42242     1.42215 1.19593e-05
         207     1.42194     1.42215 1.19429e-05
         208     1.42227     1.42215  1.1901e-05
         209     1.42226     1.42215 1.18562e-05
         210     1.42187     1.42215 1.18718e-05
         211     1.42247     1.42215 1.19163e-05
         212     1.42193     1.42215 1.19048e-05
         213     1.42224     1.42215 1.18562e-05
         214     1.42211     1.42215 1.18019e-05
         215     1.42189     1.42215 1.18055e-05
         216     1.42243     1.42215  1.1825e-05
         217     1.42177     1.42214  1.1897e-05
         218     1.42248     1.42215 1.19389e-05
         219     1.42208     1.42215 1.18883e-05
         220      1.4219     1.42214 1.18884e-05
         221     1.42227     1.42215 1.18475e-05
         222     1.42228     1.42215 1.18104e-05
         223     1.42226     1.42215 1.17677e-05
         224     1.42213     1.42215 1.17154e-05
         225     1.42216     1.42215 1.16636e-05
         226     1.42236     1.42215 1.16491e-05
         227       1.422     1.42215 1.16156e-05
         228     1.42195     1.42215 1.15967e-05
         229     1.42199     1.42215 1.15671e-05
         230      1.4222     1.42215 1.15191e-05
         231     1.42196     1.42214 1.14974e-05
         232     1.42199     1.42214 1.14671e-05
         233     1.42214     1.42214 1.14179e-05
         234     1.42216     1.42214 1.13694e-05
         235     1.42191     1.42214 1.13652e-05
         236     1.42226     1.42214  1.1328e-05
         237     1.42172     1.42214 1.14223e-05
         238     1.42214     1.42214 1.13743e-05
         239     1.42246     1.42214 1.14031e-05
         240     1.42175     1.42214 1.14746e-05
         241     1.42218     1.42214  1.1428e-05
         242     1.42224     1.42214 1.13879e-05
         243     1.42205     1.42214  1.1347e-05
         244      1.4222     1.42214 1.13032e-05
         245     1.42234     1.42214 1.12871e-05
         246     1.42212     1.42214 1.12417e-05
         247     1.42239     1.42214 1.12401e-05
         248     1.42213     1.42214 1.11949e-05
         249     1.42208     1.42214 1.11525e-05
         250     1.42234     1.42214 1.11361e-05
         251     1.42212     1.42214 1.10921e-05
         252     1.42222     1.42214 1.10522e-05
         253      1.4222     1.42214 1.10111e-05
         254     1.42217     1.42214  1.0968e-05
         255      1.4223     1.42215 1.09414e-05
         256     1.42229     1.42215  1.0913e-05
         257     1.42202     1.42215 1.08809e-05
         258     1.42207     1.42215 1.08431e-05
         259     1.42215     1.42215 1.08012e-05
         260     1.42209     1.42214  1.0762e-05
         261     1.42208     1.42214 1.07235e-05
         262     1.42215     1.42214 1.06826e-05
         263     1.42193     1.42214 1.06744e-05
         264     1.42179     1.42214 1.07192e-05
         265     1.42227     1.42214 1.06888e-05
         266      1.4215     1.42214  1.0918e-05
         267     1.42211     1.42214 1.08778e-05
         268     1.42196     1.42214 1.08583e-05
         269     1.42182     1.42214 1.08839e-05
         270     1.42184     1.42214 1.08979e-05
         271     1.42213     1.42214 1.08577e-05
         272     1.42179     1.42214  1.0891e-05
         273     1.42204     1.42214 1.08566e-05
         274     1.42184     1.42213 1.08691e-05
         275     1.42212     1.42213 1.08296e-05
         276     1.42165     1.42213 1.09308e-05
         277     1.42231     1.42213 1.09099e-05
         278     1.42159     1.42213 1.10449e-05
         279     1.42195     1.42213 1.10255e-05
         280     1.42195     1.42213 1.10043e-05
         281      1.4219     1.42213 1.09956e-05
         282     1.42204     1.42213 1.09612e-05
         283     1.42225     1.42213 1.09313e-05
         284     1.42198     1.42213 1.09061e-05
         285     1.42243     1.42213 1.09183e-05
         286     1.42162     1.42213 1.10252e-05
         287     1.42224     1.42213 1.09942e-05
         288     1.42188     1.42213 1.09886e-05
         289     1.42216     1.42213  1.0951e-05
         290     1.42201     1.42213 1.09207e-05
         291     1.42195     1.42213 1.09003e-05
         292     1.42177     1.42213 1.09308e-05
         293     1.42199     1.42213 1.09032e-05
         294     1.42172     1.42212 1.09536e-05
         295     1.42216     1.42212 1.09173e-05
         296     1.42164     1.42212 1.10017e-05
         297      1.4222     1.42212 1.09676e-05
         298     1.42178     1.42212 1.09922e-05
         299     1.42216     1.42212 1.09561e-05
         300     1.42213     1.42212 1.09196e-05
         301     1.42196     1.42212 1.08959e-05
         302      1.4221     1.42212   1.086e-05
         303     1.42205     1.42212 1.08269e-05
         304       1.422     1.42212 1.07988e-05
         305     1.42188     1.42212 1.07916e-05
         306     1.42202     1.42212 1.07615e-05
         307      1.4219     1.42212 1.07493e-05
         308      1.4219     1.42212 1.07378e-05
         309       1.422     1.42212 1.07098e-05
         310     1.42191     1.42212 1.06953e-05
         311     1.42186     1.42212 1.06922e-05
         312      1.4219     1.42212 1.06795e-05
         313     1.42213     1.42212 1.06455e-05
         314     1.42184     1.42211  1.0647e-05
         315     1.42194     1.42211 1.06269e-05
         316     1.42188     1.42211 1.06193e-05
         317     1.42194     1.42211    1.06e-05
         318     1.42213     1.42211 1.05668e-05
         319     1.42195     1.42211 1.05454e-05
         320     1.42204     1.42211  1.0515e-05
         321     1.42214     1.42211 1.04826e-05
         322     1.42218     1.42211  1.0452e-05
         323     1.42205     1.42211 1.04212e-05
         324     1.42205     1.42211 1.03911e-05
         325     1.42206     1.42211 1.03603e-05
         326     1.42206     1.42211 1.03296e-05
         327      1.4219     1.42211 1.03185e-05
         328     1.42211     1.42211 1.02871e-05
         329     1.42194     1.42211 1.02684e-05
         330     1.42229     1.42211 1.02523e-05
         331     1.42188     1.42211  1.0246e-05
         332     1.42215     1.42211 1.02158e-05
         333     1.42212     1.42211 1.01851e-05
         334     1.42224     1.42211 1.01616e-05
         335      1.4221     1.42211 1.01313e-05
         336     1.42213     1.42211 1.01013e-05
         337     1.42204     1.42211 1.00736e-05
         338     1.42224     1.42211 1.00512e-05
         339     1.42212     1.42211 1.00215e-05
         340     1.42207     1.42211 9.99288e-06
         341     1.42238     1.42211 9.99363e-06
         342     1.42206     1.42211 9.96552e-06
         343     1.42199     1.42211 9.94248e-06
         344     1.42212     1.42211 9.91365e-06
         345     1.42208     1.42211 9.88538e-06
         346     1.42217     1.42211 9.85805e-06
         347     1.42192     1.42211 9.84503e-06
         348     1.42213     1.42211 9.81694e-06
         349     1.42221     1.42211 9.79321e-06
         350     1.42192     1.42211 9.78068e-06
         351     1.42243     1.42211 9.79519e-06
         352      1.4221     1.42211 9.76746e-06
         353     1.42225     1.42211  9.7477e-06
         354     1.42233     1.42211 9.73896e-06
         355      1.4223     1.42211 9.72545e-06
         356     1.42209     1.42211 9.69831e-06
         357     1.42193     1.42211 9.68511e-06
         358     1.42236     1.42211 9.68183e-06
         359     1.42187     1.42211 9.67908e-06
         360      1.4224     1.42211 9.68613e-06
         361     1.42217     1.42211 9.66077e-06
         362     1.42253     1.42211 9.70217e-06
         363     1.42188     1.42211 9.69735e-06
         364     1.42237     1.42211 9.69595e-06
         365     1.42208     1.42211 9.66977e-06
         366     1.42225     1.42211 9.65094e-06
         367      1.4221     1.42211 9.62478e-06
         368     1.42219     1.42212 9.60081e-06
         369     1.42216     1.42212 9.57558e-06
         370     1.42215     1.42212 9.55008e-06
         371     1.42206     1.42212 9.52541e-06
         372     1.42221     1.42212 9.50298e-06
         373     1.42201     1.42212  9.4816e-06
         374      1.4219     1.42211 9.47405e-06
         375     1.42197     1.42211 9.45686e-06
         376      1.4223     1.42211 9.44533e-06
         377     1.42184     1.42211 9.44759e-06
         378     1.42224     1.42211 9.42893e-06
         379     1.42214     1.42211 9.40422e-06
         380     1.42223     1.42211 9.38457e-06
         381     1.42183     1.42211 9.38879e-06
         382     1.42198     1.42211 9.37045e-06
         383     1.42212     1.42211 9.34604e-06
         384     1.42224     1.42211 9.32758e-06
