#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         152   0.0596148   0.0589389 0.000216872
         153   0.0607624   0.0589508 0.000215782
         154   0.0621563   0.0589716 0.000215382
         155   0.0618268     0.05899 0.000214779
         156   0.0631571   0.0590168 0.000215057
         157    0.062213   0.0590371 0.000214648
         158   0.0611342   0.0590504   0.0002137
         159   0.0609186   0.0590621 0.000212679
         160   0.0592046    0.059063 0.000211351
         161   0.0588461   0.0590617 0.000210043
         162   0.0579054   0.0590545 0.000208867
         163   0.0579274   0.0590476   0.0002077
         164   0.0588118   0.0590462 0.000206439
         165   0.0585921   0.0590434 0.000205206
         166   0.0588881   0.0590425 0.000203972
         167   0.0598765   0.0590475 0.000202812
         168   0.0605947   0.0590567 0.000201814
         169   0.0597576   0.0590609 0.000200662
         170   0.0599402    0.059066 0.000199548
         171   0.0595794    0.059069 0.000198404
         172   0.0587905   0.0590674 0.000197257
         173   0.0587525   0.0590656 0.000196125
         174   0.0593417   0.0590672 0.000195005
         175   0.0582086   0.0590623 0.000193952
         176   0.0582286   0.0590575 0.000192908
         177   0.0576153   0.0590494  0.00019199
         178   0.0570854   0.0590384 0.000191228
         179   0.0576575   0.0590306 0.000190315
         180   0.0577726   0.0590237 0.000189386
         181   0.0577514   0.0590166  0.00018847
         182   0.0583853   0.0590132 0.000187467
         183   0.0582014   0.0590087 0.000186495
         184   0.0586705   0.0590069  0.00018549
         185   0.0590602   0.0590072 0.000184488
         186   0.0584335   0.0590041 0.000183522
         187    0.058308   0.0590004 0.000182578
         188   0.0580857   0.0589955 0.000181672
         189   0.0586382   0.0589936  0.00018072
         190   0.0588842    0.058993  0.00017977
         191    0.059247   0.0589944 0.000178834
         192   0.0595213   0.0589971 0.000177923
         193   0.0602474   0.0590036 0.000177119
         194   0.0590672   0.0590039 0.000176207
         195   0.0598223   0.0590081 0.000175353
         196   0.0586197   0.0590061  0.00017447
         197   0.0591306   0.0590068 0.000173585
         198   0.0588889   0.0590062  0.00017271
         199   0.0590092   0.0590062 0.000171842
         200   0.0577433   0.0589999 0.000171098
         201   0.0581028   0.0589954 0.000170305
         202    0.058154   0.0589912 0.000169513
         203   0.0580928   0.0589868 0.000168736
         204   0.0583374   0.0589836 0.000167939
         205   0.0581864   0.0589797 0.000167165
         206   0.0579775   0.0589749 0.000166424
         207   0.0578115   0.0589692 0.000165715
         208   0.0579818   0.0589645 0.000164986
         209   0.0572535   0.0589563   0.0001644
         210   0.0577836   0.0589507 0.000163712
         211   0.0575678   0.0589442 0.000163067
         212   0.0576342    0.058938 0.000162415
         213   0.0584566   0.0589357 0.000161668
         214   0.0578885   0.0589308 0.000160987
         215    0.059254   0.0589323 0.000160245
         216   0.0593193   0.0589341 0.000159513
         217   0.0589364   0.0589341 0.000158778
         218   0.0592395   0.0589356 0.000158056
         219    0.059149   0.0589365 0.000157337
         220   0.0603837   0.0589431 0.000156759
         221   0.0606966    0.058951 0.000156251
         222   0.0602729    0.058957  0.00015566
         223   0.0599532   0.0589615 0.000155026
         224   0.0580798   0.0589575 0.000154384
         225   0.0586377   0.0589561 0.000153705
         226   0.0572079   0.0589484 0.000153219
         227   0.0581513   0.0589449 0.000152584
         228   0.0575147   0.0589386 0.000152044
         229    0.059135   0.0589394 0.000151382
         230    0.059246   0.0589408  0.00015073
         231   0.0595243   0.0589433 0.000150099
         232   0.0603456   0.0589493 0.000149573
         233   0.0599522   0.0589536 0.000148993
         234    0.060213    0.058959 0.000148454
         235   0.0603301   0.0589649 0.000147937
         236   0.0610836   0.0589738 0.000147582
         237   0.0613981   0.0589841 0.000147313
         238   0.0620922   0.0589971 0.000147272
         239   0.0628191   0.0590131 0.000147522
         240   0.0629908   0.0590297 0.000147835
         241   0.0625526   0.0590443 0.000147942
         242   0.0625241   0.0590587 0.000148028
         243   0.0621848   0.0590716 0.000147977
         244    0.062789   0.0590868 0.000148153
         245   0.0613335    0.059096 0.000147832
         246   0.0608215    0.059103 0.000147397
         247   0.0605902    0.059109 0.000146923
         248   0.0599678   0.0591125 0.000146372
         249   0.0605754   0.0591183 0.000145902
         250   0.0599085   0.0591215 0.000145352
         251   0.0603055   0.0591262  0.00014485
         252   0.0604891   0.0591316 0.000144376
         253   0.0600449   0.0591352  0.00014385
         254    0.059881   0.0591382 0.000143314
         255   0.0596717   0.0591403 0.000142767
         256   0.0595764    0.059142  0.00014222
         257   0.0598586   0.0591448 0.000141694
         258   0.0596502   0.0591467 0.000141158
         259   0.0600521   0.0591502 0.000140656
         260   0.0602403   0.0591544 0.000140178
         261   0.0594668   0.0591556 0.000139646
         262    0.059769   0.0591579 0.000139132
         263   0.0593234   0.0591586 0.000138605
         264    0.060197   0.0591625 0.000138135
         265   0.0607383   0.0591684 0.000137742
         266   0.0606065   0.0591739  0.00013733
         267    0.061416   0.0591823 0.000137073
         268   0.0615999   0.0591913 0.000136858
         269   0.0609807   0.0591979  0.00013651
         270    0.061921    0.059208 0.000136377
         271   0.0613824    0.059216 0.000136109
         272   0.0612888   0.0592237 0.000135822
         273   0.0614176   0.0592317 0.000135562
         274   0.0610062   0.0592382 0.000135222
         275     0.06108   0.0592449 0.000134896
         276   0.0614237   0.0592528 0.000134638
         277    0.060389   0.0592569 0.000134215
         278   0.0616059   0.0592653 0.000133998
         279   0.0613912   0.0592729 0.000133734
         280   0.0617158   0.0592817  0.00013354
         281   0.0612775   0.0592888 0.000133254
         282   0.0615934   0.0592969 0.000133032
         283   0.0601393   0.0592999 0.000132595
         284   0.0605309   0.0593042 0.000132199
         285   0.0595674   0.0593052 0.000131738
         286   0.0598554   0.0593071 0.000131292
         287   0.0599857   0.0593095 0.000130856
         288   0.0596964   0.0593108 0.000130408
         289   0.0601812   0.0593138 0.000129992
         290   0.0603841   0.0593175 0.000129596
         291   0.0605238   0.0593216 0.000129217
         292   0.0612066   0.0593281 0.000128935
         293   0.0616159   0.0593359 0.000128731
         294   0.0633343   0.0593495  0.00012901
         295   0.0625708   0.0593604 0.000129034
         296   0.0631235   0.0593731 0.000129223
         297   0.0640621   0.0593889 0.000129749
         298   0.0631392   0.0594015 0.000129922
         299   0.0625508    0.059412 0.000129914
         300   0.0626871    0.059423 0.000129939
         301   0.0620744   0.0594318 0.000129805
         302   0.0619427   0.0594401 0.000129641
         303   0.0615241    0.059447 0.000129396
         304   0.0610635   0.0594523 0.000129079
         305   0.0613033   0.0594584 0.000128799
         306   0.0614309   0.0594648 0.000128539
         307   0.0610045   0.0594698 0.000128218
         308   0.0614345   0.0594762  0.00012796
         309   0.0617249   0.0594835 0.000127753
         310   0.0608511   0.0594879 0.000127417
         311   0.0621836   0.0594965 0.000127302
         312    0.061008   0.0595014 0.000126986
         313   0.0617427   0.0595086 0.000126782
         314    0.060313   0.0595111 0.000126404
         315   0.0618174   0.0595184 0.000126215
         316   0.0615503   0.0595249 0.000125979
         317   0.0617574   0.0595319 0.000125778
         318   0.0615782   0.0595383 0.000125547
         319   0.0613573    0.059544 0.000125283
         320   0.0607082   0.0595477 0.000124944
         321   0.0607417   0.0595514 0.000124611
         322   0.0594496   0.0595511 0.000124224
         323    0.059705   0.0595516  0.00012384
         324   0.0595398   0.0595515 0.000123458
         325   0.0601644   0.0595534 0.000123093
         326   0.0603533   0.0595559 0.000122739
