#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         151   -0.369109   -0.348268  0.00657989
         152   -0.369203   -0.348406  0.00653805
         153   -0.402474    -0.34876  0.00650486
         154    -0.44469   -0.349382  0.00649238
         155    -0.43176   -0.349914  0.00647221
         156   -0.475224   -0.350717  0.00648037
         157   -0.443628   -0.351309  0.00646606
         158   -0.410056   -0.351681  0.00643582
         159   -0.409063   -0.352042  0.00640545
         160   -0.357308   -0.352075   0.0063655
         161   -0.347976   -0.352049  0.00632602
         162   -0.317972   -0.351839  0.00629046
         163   -0.319834   -0.351642  0.00625493
         164   -0.347881    -0.35162  0.00621684
         165   -0.336675   -0.351529  0.00617982
         166   -0.344597   -0.351487  0.00614273
         167   -0.376406   -0.351636  0.00610776
         168   -0.398093   -0.351913  0.00607766
         169   -0.369676   -0.352018  0.00604261
         170   -0.380206   -0.352184  0.00600934
         171     -0.3712   -0.352295  0.00597522
         172   -0.343092   -0.352242  0.00594072
         173   -0.340384   -0.352173  0.00590678
         174   -0.361059   -0.352224  0.00587305
         175   -0.325471   -0.352071  0.00584148
         176    -0.32808   -0.351935  0.00580988
         177   -0.308407   -0.351689  0.00578226
         178   -0.291381    -0.35135  0.00575969
         179   -0.310673   -0.351123    0.005732
         180   -0.314652    -0.35092  0.00570373
         181   -0.314167   -0.350717  0.00567583
         182   -0.334724   -0.350629  0.00564533
         183   -0.326256   -0.350496  0.00561605
         184   -0.339579   -0.350437  0.00558584
         185   -0.351637   -0.350443  0.00555565
         186    -0.33237   -0.350346  0.00552663
         187   -0.331118   -0.350243  0.00549804
         188   -0.325083   -0.350109  0.00547042
         189   -0.341263   -0.350063  0.00544168
         190   -0.345778    -0.35004  0.00541308
         191   -0.354604   -0.350064  0.00538479
         192   -0.364004   -0.350137  0.00535724
         193   -0.390576   -0.350346  0.00533358
         194   -0.352517   -0.350357  0.00530609
         195   -0.377661   -0.350497  0.00528073
         196   -0.336642   -0.350427  0.00525426
         197   -0.353639   -0.350443  0.00522762
         198   -0.346474   -0.350423  0.00520125
         199    -0.35305   -0.350436  0.00517513
         200   -0.313212    -0.35025   0.0051526
         201   -0.325885   -0.350129  0.00512839
         202   -0.326892   -0.350014  0.00510429
         203   -0.322436   -0.349878  0.00508096
         204   -0.328311   -0.349772  0.00505715
         205   -0.323828   -0.349646  0.00503407
         206   -0.318129   -0.349493  0.00501195
         207   -0.315976   -0.349331  0.00499035
         208   -0.322051     -0.3492  0.00496809
         209   -0.296113   -0.348946   0.0049508
         210   -0.314365   -0.348781  0.00492997
         211   -0.307192   -0.348584  0.00491054
         212   -0.309692     -0.3484   0.0048908
         213   -0.335575    -0.34834  0.00486821
         214   -0.314327   -0.348181  0.00484806
         215   -0.359383   -0.348233  0.00482579
         216   -0.360788   -0.348291   0.0048038
         217   -0.348019    -0.34829  0.00478166
         218   -0.353559   -0.348314  0.00475979
         219    -0.34848   -0.348315  0.00473805
         220   -0.389994   -0.348505   0.0047203
         221   -0.398849   -0.348732  0.00470444
         222   -0.385543   -0.348898  0.00468617
         223   -0.378182   -0.349029  0.00466699
         224   -0.320284   -0.348901  0.00464792
         225   -0.341522   -0.348868  0.00462738
         226   -0.294733   -0.348629   0.0046131
         227   -0.325317   -0.348526  0.00459392
         228   -0.304248   -0.348332  0.00457787
