#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     1.82034     1.77407  0.00607195
         169     1.79196     1.77418  0.00603694
         170     1.80239     1.77434  0.00600371
         171     1.79342     1.77445  0.00596964
         172     1.76548      1.7744  0.00593516
         173     1.76247     1.77433  0.00590125
         174     1.78319     1.77438  0.00586756
         175     1.74782     1.77423  0.00583599
         176     1.75024      1.7741  0.00580443
         177     1.73066     1.77385  0.00577682
         178     1.71346     1.77351  0.00575432
         179     1.73277     1.77328  0.00572667
         180     1.73664     1.77308  0.00569847
         181     1.73609     1.77288  0.00567065
         182     1.75669     1.77279  0.00564019
         183     1.74836     1.77265  0.00561095
         184     1.76153     1.77259  0.00558078
         185     1.77358      1.7726  0.00555062
         186     1.75443      1.7725  0.00552164
         187     1.75322      1.7724  0.00549307
         188     1.74702     1.77226  0.00546551
         189     1.76327     1.77221   0.0054368
         190     1.76763     1.77219  0.00540824
         191     1.77682     1.77221  0.00537998
         192      1.7859     1.77229  0.00535243
         193     1.81254     1.77249  0.00532876
         194     1.77467     1.77251   0.0053013
         195     1.79968     1.77265  0.00527595
         196     1.75896     1.77258  0.00524949
         197     1.77551     1.77259  0.00522287
         198     1.76866     1.77257  0.00519653
         199     1.77516     1.77258  0.00517043
         200     1.73541      1.7724  0.00514792
         201     1.74792     1.77228  0.00512375
         202     1.74891     1.77216  0.00509969
         203     1.74463     1.77202  0.00507637
         204     1.75057     1.77192  0.00505257
         205     1.74565     1.77179  0.00502955
         206     1.74055     1.77164  0.00500742
         207     1.73792     1.77148  0.00498588
         208     1.74432     1.77135  0.00496362
         209     1.71837     1.77109  0.00494634
         210     1.73624     1.77093  0.00492557
         211     1.72967     1.77073   0.0049061
         212     1.73162     1.77055  0.00488643
         213     1.75781     1.77049  0.00486385
         214     1.73644     1.77033  0.00484373
         215     1.78128     1.77038  0.00482147
         216     1.78322     1.77044  0.00479951
         217     1.76979     1.77044  0.00477739
         218     1.77604     1.77046  0.00475555
         219     1.77056     1.77046  0.00473383
         220     1.81189     1.77065  0.00471606
         221     1.82112     1.77088  0.00470025
         222     1.80783     1.77104  0.00468202
         223     1.80044     1.77118  0.00466288
         224     1.74242     1.77105  0.00464383
         225     1.76369     1.77101  0.00462331
         226     1.71709     1.77078    0.004609
         227     1.74732     1.77067  0.00458986
         228      1.7262     1.77048  0.00457387
         229     1.77949     1.77052  0.00455406
         230     1.78036     1.77056  0.00453447
         231     1.78659     1.77063  0.00451537
         232     1.81373     1.77082  0.00449972
         233      1.8014     1.77095  0.00448233
         234        1.81     1.77111  0.00446628
         235     1.81254     1.77129  0.00445075
         236     1.83532     1.77156  0.00444015
         237     1.84383     1.77187  0.00443188
         238     1.86426     1.77225  0.00443022
         239     1.88519     1.77273  0.00443682
         240     1.89131     1.77322  0.00444576
         241     1.87825     1.77366  0.00444862
         242      1.8772     1.77408  0.00445077
