           2   -0.462186 0.000163867
        1.75   -0.516398 0.000177633
         1.5   -0.582756 0.000166712
        1.25   -0.664253 0.000185035
           1   -0.761885 0.000241416
        0.75   -0.870489 0.000321833
         0.5   -0.974136 0.000495252
