#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         169     1.77369     1.75827   0.0235803
         170      1.7778     1.75838   0.0234419
         171     1.78281     1.75852   0.0233052
         172     1.78892      1.7587   0.0231704
         173     1.79589     1.75892   0.0230375
         174     1.80304     1.75917   0.0229065
         175      1.8092     1.75946   0.0227774
         176     1.81292     1.75976     0.02265
         177      1.8128     1.76006    0.022524
         178     1.80788     1.76033    0.022399
         179     1.79782     1.76054   0.0222749
         180     1.78275     1.76066   0.0221515
         181     1.76284     1.76067   0.0220291
         182     1.73796     1.76055   0.0219084
         183     1.70741     1.76026   0.0217906
         184     1.67012     1.75977   0.0216777
         185      1.6254     1.75904   0.0215727
         186     1.57398     1.75805   0.0214796
         187     1.51931     1.75677   0.0214027
         188      1.4681     1.75523   0.0213438
         189     1.42866     1.75351   0.0213007
         190     1.40711     1.75168   0.0212665
         191     1.40476     1.74987   0.0212326
         192     1.41933     1.74815   0.0211917
         193     1.44764     1.74659    0.021139
         194     1.48642     1.74525   0.0210725
         195     1.53233     1.74416   0.0209927
         196      1.5821     1.74333   0.0209019
         197     1.63217     1.74276   0.0208034
         198     1.67825     1.74244   0.0207009
         199     1.71592     1.74231   0.0205973
         200     1.74193      1.7423   0.0204943
         201     1.75516     1.74237   0.0203925
         202     1.75668     1.74244   0.0202916
         203     1.74876     1.74247   0.0201917
         204     1.73368     1.74243   0.0200928
         205     1.71286     1.74228   0.0199953
         206     1.68717     1.74201      0.0199
         207     1.65809     1.74161    0.019808
         208      1.6287     1.74107   0.0197202
         209     1.60352     1.74041   0.0196368
         210     1.58745     1.73968   0.0195568
         211     1.58409     1.73894    0.019478
         212     1.59429     1.73826   0.0193981
         213      1.6157     1.73768   0.0193156
         214     1.64385     1.73725   0.0192303
         215     1.67377     1.73695   0.0191431
         216     1.70153     1.73679   0.0190552
         217     1.72484     1.73673   0.0189674
         218      1.7428     1.73676   0.0188805
         219     1.75546     1.73685   0.0187944
         220     1.76325     1.73697   0.0187094
         221     1.76665      1.7371   0.0186252
         222     1.76596     1.73723   0.0185418
         223     1.76117     1.73734   0.0184589
         224     1.75212      1.7374   0.0183767
         225     1.73876     1.73741    0.018295
         226     1.72159     1.73734   0.0182142
         227     1.70172     1.73718   0.0181346
         228      1.6807     1.73693   0.0180568
         229     1.65989      1.7366    0.017981
         230     1.64009     1.73618   0.0179078
         231     1.62185     1.73568   0.0178371
         232     1.60614     1.73512   0.0177689
         233     1.59461     1.73452   0.0177029
         234     1.58892      1.7339   0.0176382
         235     1.58974     1.73329   0.0175738
         236      1.5961      1.7327   0.0175089
         237     1.60542     1.73217   0.0174433
         238     1.61454     1.73167    0.017377
         239     1.62128     1.73121   0.0173104
         240     1.62554     1.73077   0.0172439
         241     1.62893     1.73035   0.0171775
         242     1.63332     1.72995   0.0171112
         243     1.63946     1.72958   0.0170449
         244     1.64705     1.72924   0.0169783
         245     1.65538     1.72894   0.0169117
         246     1.66396     1.72867    0.016845
         247     1.67262     1.72844   0.0167784
         248     1.68132     1.72825   0.0167118
         249     1.68984      1.7281   0.0166454
         250     1.69757     1.72798   0.0165793
         251     1.70362     1.72788   0.0165135
         252     1.70709      1.7278   0.0164482
         253     1.70744     1.72772   0.0163833
         254     1.70473     1.72763   0.0163191
         255     1.69955     1.72752   0.0162555
         256     1.69291     1.72738   0.0161925
         257     1.68609     1.72722   0.0161303
         258     1.68046     1.72704   0.0160688
         259     1.67728     1.72685   0.0160079
         260     1.67736     1.72666   0.0159475
         261     1.68074     1.72648   0.0158874
         262     1.68641     1.72633   0.0158275
         263     1.69254      1.7262   0.0157678
         264     1.69717     1.72609   0.0157085
         265      1.6989     1.72599   0.0156495
         266     1.69744     1.72588   0.0155911
         267      1.6936     1.72576   0.0155331
         268     1.68891     1.72562   0.0154758
         269     1.68493     1.72547    0.015419
         270     1.68292     1.72531   0.0153627
         271     1.68364     1.72516   0.0153068
         272     1.68763     1.72502   0.0152511
         273     1.69537     1.72491   0.0151956
         274     1.70748     1.72485   0.0151403
         275     1.72445     1.72485   0.0150853
         276     1.74603     1.72492   0.0150308
         277     1.77066     1.72509   0.0149774
         278     1.79535     1.72534   0.0149257
         279     1.81628     1.72567   0.0148758
         280     1.82975     1.72604   0.0148273
         281      1.8331     1.72642   0.0147794
         282     1.82546     1.72677   0.0147312
         283     1.80786     1.72706   0.0146819
         284     1.78306     1.72726   0.0146315
         285     1.75484     1.72735   0.0145805
         286     1.72718     1.72735   0.0145295
         287      1.7034     1.72727   0.0144791
         288     1.68581     1.72712   0.0144296
         289     1.67539     1.72695   0.0143808
         290     1.67196     1.72676   0.0143324
         291     1.67445     1.72658   0.0142843
         292     1.68122     1.72642   0.0142362
         293     1.69026      1.7263   0.0141882
         294     1.69934     1.72621   0.0141402
         295     1.70623     1.72614   0.0140924
         296     1.70912     1.72608   0.0140449
         297     1.70701     1.72602   0.0139978
         298     1.70015     1.72593   0.0139511
         299     1.69004     1.72581    0.013905
         300     1.67909     1.72565   0.0138595
         301     1.66984     1.72547   0.0138147
         302     1.66415     1.72527   0.0137704
         303     1.66249     1.72506   0.0137265
         304     1.66366     1.72486   0.0136829
         305     1.66508     1.72466   0.0136394
         306     1.66372     1.72446   0.0135963
         307     1.65738     1.72424   0.0135538
         308     1.64601     1.72399   0.0135121
         309     1.63226     1.72369   0.0134717
         310     1.62011     1.72336   0.0134323
         311     1.61228       1.723   0.0133939
         312     1.60892     1.72264    0.013356
         313     1.60856     1.72227   0.0133183
         314     1.60994     1.72191   0.0132807
         315     1.61284     1.72157    0.013243
         316     1.61793     1.72124   0.0132052
         317     1.62614     1.72094   0.0131669
         318     1.63784     1.72068   0.0131281
         319     1.65242     1.72046   0.0130887
         320     1.66831      1.7203   0.0130488
         321     1.68355     1.72019   0.0130086
         322     1.69641     1.72011   0.0129685
         323     1.70597     1.72007   0.0129284
         324     1.71225     1.72004   0.0128885
         325      1.7161     1.72003   0.0128488
         326     1.71873     1.72003   0.0128094
         327     1.72122     1.72003   0.0127703
         328      1.7241     1.72004   0.0127313
         329     1.72737     1.72007   0.0126927
         330     1.73079      1.7201   0.0126542
         331     1.73405     1.72014   0.0126161
         332     1.73683     1.72019   0.0125782
         333     1.73868     1.72025   0.0125405
         334     1.73888      1.7203   0.0125031
         335     1.73655     1.72035   0.0124659
         336     1.73089     1.72038   0.0124288
         337     1.72166     1.72039   0.0123919
         338     1.70946     1.72035   0.0123553
         339     1.69602     1.72028   0.0123191
         340     1.68422     1.72018   0.0122833
         341     1.67746     1.72005   0.0122479
         342     1.67803     1.71993   0.0122127
         343      1.6853     1.71983   0.0121775
         344      1.6954     1.71976   0.0121423
         345     1.70305     1.71971   0.0121072
         346     1.70413     1.71966   0.0120723
         347     1.69752      1.7196   0.0120377
         348     1.68537      1.7195   0.0120035
         349     1.67199     1.71936   0.0119699
         350     1.66167      1.7192   0.0119368
         351     1.65669     1.71902   0.0119042
         352     1.65706     1.71885   0.0118716
         353     1.66148     1.71868   0.0118391
         354     1.66857     1.71854   0.0118065
         355     1.67718     1.71842   0.0117738
         356      1.6861     1.71833   0.0117411
         357     1.69374     1.71827   0.0117084
         358      1.6984     1.71821   0.0116759
         359     1.69878     1.71816   0.0116435
         360     1.69429     1.71809   0.0116113
         361     1.68508       1.718   0.0115795
         362     1.67154     1.71787   0.0115482
         363     1.65411     1.71769   0.0115177
         364     1.63342     1.71746   0.0114884
         365     1.61055     1.71717   0.0114607
         366     1.58707     1.71681   0.0114349
         367     1.56489      1.7164   0.0114112
         368     1.54603     1.71594   0.0113896
         369     1.53233     1.71544   0.0113696
         370     1.52523     1.71493   0.0113505
         371      1.5254     1.71441   0.0113314
