#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         153    -5.08749    -5.12314   0.0261102
         154    -5.09282    -5.12294   0.0259414
         155    -5.09877    -5.12278   0.0257745
         156    -5.10323    -5.12266   0.0256096
         157    -5.10427    -5.12254   0.0254467
         158    -5.10268    -5.12242    0.025286
         159    -5.09946    -5.12227   0.0251274
         160    -5.09658    -5.12211   0.0249708
         161    -5.09566    -5.12195   0.0248163
         162    -5.09751     -5.1218   0.0246635
         163    -5.10276    -5.12168   0.0245125
         164     -5.1105    -5.12161   0.0243631
         165     -5.1176    -5.12159   0.0242155
         166    -5.12432     -5.1216   0.0240696
         167    -5.12979    -5.12165   0.0239255
         168    -5.13539    -5.12173   0.0237833
         169    -5.13868    -5.12183   0.0236428
         170    -5.14199    -5.12195    0.023504
         171    -5.14585    -5.12209   0.0233669
         172    -5.15257    -5.12227   0.0232318
         173    -5.16013    -5.12249   0.0230985
         174      -5.167    -5.12274   0.0229672
         175    -5.17306    -5.12303   0.0228377
         176    -5.17569    -5.12333   0.0227099
         177     -5.1744    -5.12362   0.0225835
         178    -5.16834    -5.12387    0.022458
         179    -5.15836    -5.12406   0.0223333
         180    -5.14295    -5.12417   0.0222095
         181    -5.12254    -5.12416   0.0220868
         182    -5.09714    -5.12401    0.021966
         183     -5.0661    -5.12369   0.0218482
         184    -5.02827    -5.12318   0.0217356
         185    -4.98237    -5.12241   0.0216314
         186    -4.93038    -5.12138   0.0215398
         187    -4.87528    -5.12007   0.0214648
         188    -4.82485     -5.1185   0.0214079
         189    -4.78777    -5.11675   0.0213661
         190    -4.76818    -5.11491   0.0213322
         191    -4.76778    -5.11309   0.0212978
         192    -4.78402    -5.11138   0.0212558
         193    -4.81333    -5.10984   0.0212016
         194    -4.85219    -5.10851   0.0211339
         195     -4.8982    -5.10743    0.021053
         196     -4.9487    -5.10662   0.0209612
         197    -4.99936    -5.10607   0.0208619
         198    -5.04448    -5.10576   0.0207588
         199    -5.08093    -5.10564   0.0206549
         200    -5.10556    -5.10564   0.0205516
         201    -5.11699     -5.1057   0.0204494
         202    -5.11695    -5.10575   0.0203483
         203    -5.10831    -5.10576    0.020248
         204    -5.09274     -5.1057   0.0201489
         205    -5.07108    -5.10553   0.0200513
         206    -5.04501    -5.10524   0.0199561
         207    -5.01492     -5.1048   0.0198645
         208    -4.98633    -5.10423   0.0197771
         209    -4.96221    -5.10355   0.0196942
         210    -4.94694    -5.10281   0.0196145
         211    -4.94467    -5.10206   0.0195359
         212    -4.95699    -5.10137   0.0194557
         213    -4.97967     -5.1008   0.0193728
         214    -5.00805    -5.10037   0.0192871
         215     -5.0381    -5.10008   0.0191995
         216     -5.0668    -5.09992   0.0191113
         217    -5.08968    -5.09988   0.0190233
         218    -5.10618    -5.09991    0.018936
         219    -5.11834    -5.09999   0.0188497
         220    -5.12565    -5.10011   0.0187644
         221    -5.12802    -5.10023   0.0186799
         222    -5.12715    -5.10035   0.0185962
         223    -5.12191    -5.10045    0.018513
         224    -5.11258     -5.1005   0.0184305
         225    -5.09956     -5.1005   0.0183486
         226    -5.08153    -5.10042   0.0182676
         227    -5.06174    -5.10025   0.0181879
         228    -5.04092    -5.09999     0.01811
         229    -5.02055    -5.09964   0.0180342
         230    -5.00103    -5.09921   0.0179609
         231     -4.9838    -5.09871   0.0178901
         232    -4.96817    -5.09815   0.0178218
         233    -4.95616    -5.09754   0.0177558
         234    -4.95167    -5.09691   0.0176908
         235    -4.95308     -5.0963   0.0176261
         236    -4.96021    -5.09573   0.0175609
         237    -4.96946    -5.09519   0.0174949
         238    -4.97778     -5.0947   0.0174283
         239    -4.98493    -5.09424   0.0173614
         240    -4.98934     -5.0938   0.0172946
         241    -4.99267    -5.09338   0.0172279
         242    -4.99775    -5.09299   0.0171613
         243    -5.00422    -5.09262   0.0170945
         244    -5.01187    -5.09229   0.0170277
         245    -5.01945      -5.092   0.0169608
         246    -5.02919    -5.09174   0.0168937
         247    -5.03781    -5.09152   0.0168268
         248    -5.04645    -5.09134   0.0167599
         249    -5.05452    -5.09119   0.0166932
         250    -5.06092    -5.09107   0.0166269
         251    -5.06678    -5.09097   0.0165609
         252    -5.06984    -5.09089   0.0164954
         253    -5.06897     -5.0908   0.0164305
         254    -5.06604    -5.09071   0.0163661
         255    -5.06177    -5.09059   0.0163023
         256    -5.05474    -5.09045   0.0162392
         257    -5.04708    -5.09028   0.0161769
         258    -5.04198     -5.0901   0.0161153
         259    -5.03973     -5.0899   0.0160542
         260    -5.04113    -5.08971   0.0159936
         261    -5.04557    -5.08955   0.0159332
         262    -5.05173     -5.0894    0.015873
         263    -5.05778    -5.08928   0.0158131
         264     -5.0629    -5.08918   0.0157535
         265    -5.06482    -5.08909   0.0156944
         266    -5.06302    -5.08899   0.0156357
         267    -5.05919    -5.08888   0.0155775
         268    -5.05498    -5.08875   0.0155199
         269    -5.04977    -5.08861   0.0154629
         270    -5.04809    -5.08846   0.0154063
         271    -5.04875    -5.08831   0.0153502
         272    -5.05309    -5.08818   0.0152943
         273    -5.06151    -5.08808   0.0152386
         274    -5.07401    -5.08803   0.0151831
         275    -5.09212    -5.08805   0.0151278
         276    -5.11456    -5.08814   0.0150733
         277    -5.13944    -5.08833   0.0150201
         278      -5.164     -5.0886   0.0149685
         279    -5.18404    -5.08894   0.0149188
         280    -5.19562    -5.08932   0.0148703
         281    -5.19802    -5.08971   0.0148225
         282     -5.1889    -5.09006   0.0147741
         283    -5.17022    -5.09035   0.0147246
         284    -5.14381    -5.09053   0.0146739
         285    -5.11482    -5.09062   0.0146227
         286    -5.08724    -5.09061   0.0145716
         287     -5.0643    -5.09052   0.0145211
         288     -5.0477    -5.09037   0.0144714
         289    -5.03764    -5.09018   0.0144225
         290    -5.03488    -5.08999    0.014374
         291    -5.03891    -5.08982   0.0143257
         292    -5.04549    -5.08967   0.0142774
         293     -5.0544    -5.08955   0.0142292
         294    -5.06289    -5.08946   0.0141811
         295    -5.07004    -5.08939   0.0141332
         296     -5.0718    -5.08933   0.0140856
         297    -5.06783    -5.08926   0.0140383
         298    -5.06028    -5.08916   0.0139916
         299    -5.05111    -5.08903   0.0139453
         300    -5.04081    -5.08887   0.0138998
         301    -5.03234    -5.08869   0.0138549
         302    -5.02709    -5.08848   0.0138105
         303    -5.02579    -5.08827   0.0137665
         304    -5.02704    -5.08807   0.0137227
         305    -5.02766    -5.08787   0.0136791
         306    -5.02588    -5.08767   0.0136359
         307    -5.01872    -5.08745   0.0135933
         308    -5.00703    -5.08719   0.0135517
         309    -4.99339    -5.08688   0.0135112
         310    -4.98149    -5.08654   0.0134719
         311    -4.97416    -5.08618   0.0134335
         312    -4.97127    -5.08581   0.0133955
         313    -4.97187    -5.08545   0.0133576
         314     -4.9733    -5.08509   0.0133198
         315    -4.97555    -5.08474   0.0132821
         316    -4.98022    -5.08441   0.0132442
         317    -4.98834    -5.08411   0.0132059
         318    -5.00037    -5.08385    0.013167
         319    -5.01496    -5.08363   0.0131275
         320    -5.03029    -5.08346   0.0130875
         321    -5.04501    -5.08334   0.0130473
         322     -5.0569    -5.08326    0.013007
         323    -5.06627    -5.08321   0.0129668
         324     -5.0724    -5.08318   0.0129269
         325    -5.07659    -5.08316   0.0128871
         326    -5.07944    -5.08314   0.0128476
         327    -5.08243    -5.08314   0.0128083
         328    -5.08596    -5.08315   0.0127692
         329    -5.08949    -5.08317   0.0127305
         330    -5.09225     -5.0832   0.0126919
         331    -5.09582    -5.08324   0.0126536
         332    -5.09872    -5.08328   0.0126156
         333    -5.10033    -5.08333   0.0125778
         334    -5.10055    -5.08339   0.0125403
         335    -5.09816    -5.08343   0.0125029
         336    -5.09259    -5.08346   0.0124657
         337    -5.08348    -5.08346   0.0124287
         338    -5.07086    -5.08342    0.012392
         339    -5.05753    -5.08334   0.0123557
         340    -5.04623    -5.08323   0.0123198
         341    -5.03957    -5.08311   0.0122844
         342    -5.04028    -5.08298   0.0122491
         343    -5.04745    -5.08288   0.0122138
         344    -5.05779     -5.0828   0.0121785
         345    -5.06556    -5.08275   0.0121433
         346      -5.066    -5.08271   0.0121083
         347    -5.05802    -5.08263   0.0120736
         348    -5.04474    -5.08253   0.0120394
         349    -5.03053    -5.08238   0.0120059
         350    -5.01986     -5.0822   0.0119729
         351    -5.01534    -5.08201   0.0119403
         352     -5.0159    -5.08182   0.0119079
         353     -5.0201    -5.08165   0.0118754
         354    -5.02731    -5.08149   0.0118429
         355    -5.03644    -5.08136   0.0118102
         356    -5.04525    -5.08126   0.0117774
         357     -5.0531    -5.08118   0.0117447
         358    -5.05771    -5.08112   0.0117121
         359    -5.05695    -5.08105   0.0116797
         360    -5.05267    -5.08097   0.0116475
         361    -5.04327    -5.08087   0.0116157
         362    -5.02979    -5.08073   0.0115844
         363    -5.01216    -5.08054   0.0115541
         364    -4.99083    -5.08029    0.011525
         365    -4.96838    -5.07999   0.0114975
         366    -4.94462    -5.07962    0.011472
         367    -4.92315    -5.07919   0.0114487
         368    -4.90402    -5.07871   0.0114274
         369    -4.89109     -5.0782   0.0114078
         370    -4.88412    -5.07768    0.011389
         371    -4.88432    -5.07716   0.0113702
         372    -4.89151    -5.07666   0.0113506
         373    -4.90469     -5.0762   0.0113295
         374    -4.92143    -5.07578   0.0113068
         375    -4.93969    -5.07542   0.0112825
         376    -4.95569     -5.0751   0.0112569
         377    -4.96741    -5.07482   0.0112307
         378    -4.97335    -5.07455   0.0112042
         379    -4.97406    -5.07428   0.0111778
         380    -4.96702      -5.074   0.0111519
         381     -4.9547    -5.07369   0.0111271
         382    -4.93783    -5.07333   0.0111036
         383    -4.91883    -5.07293   0.0110819
         384    -4.90132    -5.07248   0.0110621
