#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152    -3.36583    -3.36345  0.00044289
         153    -3.36643    -3.36347 0.000440425
         154    -3.36576    -3.36348 0.000437817
         155    -3.36532     -3.3635 0.000435153
         156    -3.36539    -3.36351 0.000432533
         157    -3.36498    -3.36352 0.000429879
         158    -3.36457    -3.36352  0.00042721
         159    -3.36405    -3.36353 0.000424536
         160    -3.36385    -3.36353 0.000421887
         161    -3.36392    -3.36353 0.000419274
         162    -3.36382    -3.36353 0.000416689
         163    -3.36399    -3.36354 0.000414142
         164    -3.36449    -3.36354 0.000411658
         165    -3.36387    -3.36354 0.000409168
         166    -3.36377    -3.36354 0.000406706
         167    -3.36393    -3.36355 0.000404277
         168    -3.36542    -3.36356 0.000402024
         169    -3.36499    -3.36357 0.000399735
         170     -3.3642    -3.36357   0.0003974
         171    -3.36304    -3.36357 0.000395089
         172    -3.36365    -3.36357 0.000392792
         173    -3.36424    -3.36357 0.000390541
         174    -3.36396    -3.36357 0.000388303
         175    -3.36386    -3.36358 0.000386087
         176    -3.36278    -3.36357  0.00038392
         177    -3.36161    -3.36356 0.000381911
         178    -3.36046    -3.36354 0.000380162
         179    -3.36054    -3.36353 0.000378407
         180     -3.3602    -3.36351 0.000376755
         181     -3.3597    -3.36349 0.000375259
         182    -3.35918    -3.36346 0.000373942
         183    -3.35869    -3.36344 0.000372807
         184    -3.35815    -3.36341 0.000371886
         185    -3.35697    -3.36337   0.0003715
         186    -3.35641    -3.36334 0.000371386
         187    -3.35597     -3.3633  0.00037148
         188    -3.35675    -3.36326 0.000371134
         189    -3.35911    -3.36324 0.000369819
         190    -3.36107    -3.36323 0.000368049
         191    -3.36302    -3.36323 0.000366123
         192    -3.36469    -3.36323 0.000364296
         193    -3.36569    -3.36325 0.000362631
         194    -3.36577    -3.36326 0.000360995
         195    -3.36587    -3.36327 0.000359391
         196     -3.3666    -3.36329 0.000357958
         197    -3.36719    -3.36331 0.000356689
         198    -3.36623    -3.36333 0.000355191
         199    -3.36501    -3.36333 0.000353507
         200    -3.36362    -3.36334 0.000351743
         201    -3.36183    -3.36333 0.000350073
         202    -3.36027    -3.36331 0.000348666
         203    -3.35955    -3.36329 0.000347439
         204    -3.35907    -3.36327 0.000346354
         205    -3.35822    -3.36325 0.000345539
         206    -3.35784    -3.36322 0.000344857
         207    -3.35683    -3.36319 0.000344572
         208    -3.35763    -3.36316 0.000343952
         209    -3.35869    -3.36314 0.000342973
         210     -3.3595    -3.36313 0.000341779
         211    -3.36058    -3.36311 0.000340372
         212     -3.3627    -3.36311 0.000338772
         213    -3.36397    -3.36312 0.000337206
         214     -3.3642    -3.36312 0.000335668
         215    -3.36433    -3.36313 0.000334154
         216    -3.36528    -3.36314 0.000332755
         217    -3.36484    -3.36314 0.000331314
         218    -3.36337    -3.36315 0.000329796
         219    -3.36288    -3.36314 0.000328292
         220    -3.36241    -3.36314 0.000326817
         221    -3.36137    -3.36313 0.000325437
         222    -3.36119    -3.36312 0.000324088
         223    -3.36074    -3.36311 0.000322811
         224    -3.36046     -3.3631 0.000321587
         225     -3.3608    -3.36309 0.000320321
         226    -3.35994    -3.36308 0.000319207
         227    -3.36002    -3.36306 0.000318084
         228    -3.36022    -3.36305 0.000316934
         229    -3.36065    -3.36304 0.000315722
         230    -3.36093    -3.36303 0.000314482
         231    -3.36195    -3.36303 0.000313156
         232    -3.36203    -3.36302 0.000311836
         233    -3.36155    -3.36302 0.000310562
         234    -3.36275    -3.36302 0.000309237
         235    -3.36333    -3.36302 0.000307924
         236    -3.36411    -3.36302 0.000306654
         237    -3.36404    -3.36303 0.000305391
         238    -3.36324    -3.36303 0.000304109
         239    -3.36365    -3.36303 0.000302847
         240    -3.36381    -3.36303 0.000301603
         241    -3.36374    -3.36304 0.000300366
         242    -3.36443    -3.36304  0.00029918
         243    -3.36476    -3.36305 0.000298032
         244    -3.36482    -3.36306 0.000296899
         245    -3.36407    -3.36306 0.000295716
         246    -3.36523    -3.36307 0.000294646
         247    -3.36519    -3.36308 0.000293578
         248    -3.36513    -3.36309 0.000292512
         249    -3.36468    -3.36309 0.000291407
         250    -3.36335    -3.36309 0.000290243
         251    -3.36316    -3.36309 0.000289087
         252    -3.36275    -3.36309 0.000287943
         253    -3.36153    -3.36309 0.000286871
         254    -3.36131    -3.36308 0.000285827
         255    -3.36223    -3.36308 0.000284726
