#     GENERATION:   L1:   BEST HALF <L1>:
           0     462.772     500.514
           1     443.118     484.293
           2     441.916     467.805
           3     425.264     459.504
           4     425.264       447.5
           5     412.342     444.012
           6     412.342     435.729
           7     396.691     423.718
           8     396.691      412.43
           9     396.691     403.926
          10     387.083     398.722
          11     383.276     393.074
          12     383.205      388.05
          13     378.562     383.889
          14     368.176     381.865
          15     368.176     377.448
          16     368.176     373.304
          17      362.54     369.448
          18     359.297     367.646
          19     351.417      364.93
          20      347.45     360.967
          21     346.329      354.52
          22     330.842     349.151
          23     329.646     342.881
          24     323.595     334.022
          25     321.087     330.503
          26     319.391      326.75
          27     314.137     324.264
          28     314.137     321.569
          29     313.939     318.922
          30     310.664     316.269
          31     310.664     315.055
          32     306.529     312.691
          33     302.407     310.533
          34     298.436     307.622
          35     289.118     303.554
          36     289.118     297.631
          37     289.118      293.62
          38      287.74     290.712
          39     286.584     289.107
          40     284.573     288.432
          41     281.332      286.97
          42     279.946     285.143
          43     279.946     283.078
          44     276.706      280.52
          45     274.888     279.476
          46     274.888     279.174
          47     274.888      278.33
          48     274.888     276.604
          49      273.71     275.795
          50     272.061     275.237
          51     272.061     274.035
          52     271.683     273.425
          53     270.598     272.209
          54     270.598     271.743
          55      269.11     271.406
          56     268.888     271.254
          57     264.202     270.489
          58     262.151     269.088
          59     263.595     266.866
          60     260.854     265.527
          61      259.07     263.758
          62      259.07     262.813
          63      259.07     261.662
          64     255.689     260.996
          65     255.689     260.105
          66     254.591     258.604
          67     248.708     256.342
          68      247.42     253.815
          69      247.42     250.209
          70      247.42     249.396
          71     242.969     247.888
          72     242.969     247.082
          73     242.969     246.235
          74     242.133      245.31
          75     237.443      243.83
          76     237.443     241.518
          77     237.443     240.183
          78     235.779     239.361
          79     235.779     238.568
          80     234.181     237.277
          81     232.517     235.898
          82     232.517     235.093
          83     231.724     234.188
          84     231.724      233.37
          85      231.59     232.394
          86     230.797      232.65
          87       224.5      231.59
          88     224.274     230.569
          89     223.923     228.778
          90     219.942     226.484
          91     219.942     224.964
          92     217.893      223.08
          93     217.893     221.479
          94     217.893      220.31
          95     217.893     220.069
          96     217.893     219.313
          97     217.893     218.426
          98     216.418     217.845
          99     214.117     217.585
         100     208.538     216.816
         101     208.538     215.015
         102     208.496      212.36
         103     208.496     209.818
         104     207.959     208.882
         105     207.959      208.45
         106     207.467     208.206
         107     206.859     207.993
         108     206.654     207.815
         109     206.654     207.361
         110     206.654     206.854
         111     205.666     206.722
         112     205.666     206.537
         113     205.666     206.553
         114      204.85     206.527
         115     202.925     206.389
         116     202.925      205.85
         117     202.925     204.054
         118     202.772     203.585
         119     202.772     203.173
         120     202.772     203.508
         121     201.099     203.041
         122     201.099     203.003
         123     201.099     202.582
         124     201.099       202.4
         125     201.099     201.816
         126     201.099     201.333
         127     201.099     201.143
         128      199.96     201.057
         129     198.532     200.757
         130     198.532     199.796
         131     196.379     199.362
         132     196.379     198.037
         133     196.379     197.733
         134     195.315     197.221
         135     195.315     196.199
         136     194.454     195.836
         137     194.454     195.506
         138     194.454     195.294
         139     192.143     195.063
         140     191.145     194.843
         141     191.145      193.92
         142     191.145      193.12
         143     191.145     192.599
         144     190.283     192.103
         145     188.897     191.166
         146     188.897       190.7
         147     188.897      190.21
         148     188.238     190.131
         149     188.004     188.846
         150     187.265      188.47
         151     186.371     188.116
         152     186.371     187.477
         153     186.371     187.077
         154     184.695     186.738
         155     184.695     186.696
         156     184.695     186.456
         157     183.062     185.465
         158     183.062     184.428
         159     183.062     183.846
         160     182.318     183.361
         161     181.811     182.933
         162     181.811     183.654
         163     180.442     183.051
         164     180.442     183.501
         165      180.32     182.961
         166      180.32     181.719
         167      178.76     180.931
         168      178.76     180.534
         169      178.76     180.059
         170      178.76     179.469
         171     178.616     179.587
         172     178.616     179.156
         173     178.616     178.753
         174     178.616     178.681
         175     175.764     178.597
         176     175.764     178.121
         177     175.764     177.111
         178     175.764     175.863
         179     175.764     175.764
         180     175.764     175.764
         181     175.764     175.764
         182     175.764     175.764
         183      175.11     175.751
         184      175.11     175.725
         185      175.11     175.622
         186      175.11      175.47
         187      175.11     175.436
         188      175.11     175.188
         189      175.11      175.11
         190     174.466     175.097
         191     173.781      174.97
         192     173.385     174.722
         193     172.885     174.251
         194     172.885     173.832
         195     172.885     173.706
         196     172.537     173.531
         197     172.537     173.658
         198     172.537     173.289
         199     172.537       172.8
         200     172.537     172.585
         201     171.396     172.514
         202     171.396     172.445
         203     171.396      171.99
         204     170.889     171.421
         205     170.424     171.295
         206     170.424     171.249
         207     170.424     171.089
         208       169.6     170.924
         209       169.6     171.186
         210     168.887     170.481
         211     168.887     170.809
         212     168.887     170.822
         213     168.887     169.689
         214     168.887     169.545
         215     168.887     169.266
         216     168.887     168.887
         217     168.887     168.887
         218     167.977     168.869
         219     167.977     168.851
         220     167.977     168.917
         221     166.812     168.724
         222     166.812     169.265
         223     166.812       168.7
         224     166.812     167.478
         225     166.405     167.245
         226     166.405      167.18
         227     166.405     166.891
         228     166.007     166.708
         229     166.007     166.567
         230     166.007      166.47
         231     166.007     166.158
         232     165.488     166.385
         233     164.133     166.808
         234     164.133     166.668
         235     164.133     166.308
         236     164.133     165.477
         237     163.428     164.326
         238     163.428     164.392
         239     163.394     164.162
         240     162.787      163.98
         241     162.787     163.747
         242     162.787     164.123
         243     162.753     163.945
         244     162.753     163.051
         245     162.653     162.914
         246     162.653     163.002
         247     162.653     162.881
         248     162.653     163.175
         249     162.625     163.144
         250     162.625     162.838
         251     162.625     163.252
         252     162.625     163.069
         253     162.463     162.667
         254     160.865     162.567
         255     160.865      162.26
         256     160.865     161.809
         257     160.865     161.052
         258     160.865     160.874
         259     160.865     160.895
         260     160.865     160.865
         261     160.775     160.863
         262     159.811     160.811
         263      159.72     160.645
         264      159.72     160.375
         265      159.72     159.999
         266      159.72     159.919
         267     158.901     159.734
         268     158.658     159.628
         269     158.658     159.402
         270     158.633     159.263
         271     158.633     159.735
         272     158.633     158.861
         273     158.633     158.748
         274     156.936     158.599
         275     156.936     158.532
         276     156.936      158.23
         277     156.936     158.748
         278     156.936     157.533
         279     156.936     157.276
         280     156.936     156.936
         281     156.936      157.04
         282     156.936     156.936
         283     156.936     156.936
         284     156.936     156.936
         285     156.936     156.936
         286     156.936     156.936
         287     156.936     156.936
         288     156.936     156.936
         289     156.936     156.936
         290     156.936     156.936
         291     156.867     156.934
         292     156.867     156.934
         293     156.867     156.926
         294     156.867     156.919
         295     155.784     156.872
         296     155.714     156.913
         297     155.714     156.452
         298     155.714     156.239
         299     155.714     156.102
