#     GENERATION:   L1:   BEST HALF <L1>:
         288     145.762     145.762
         289      145.38     145.755
         290      145.38     145.724
         291     144.827      145.66
         292     144.827      145.51
         293     144.827     145.293
         294     144.827     144.938
         295     144.827     144.827
         296     144.827     144.827
         297     144.827     144.827
         298     144.827     144.827
         299     144.171     144.814
         300     144.171      144.67
         301     143.501      144.58
         302     143.501     144.223
         303     142.845     143.875
         304     142.845     143.581
         305     142.845     143.367
         306     142.845     143.224
         307     142.776     142.844
         308     142.776     142.834
         309     140.246     142.772
         310     140.246     142.706
         311     140.246     142.281
         312     138.937     141.905
         313     138.937     141.192
         314     138.924     139.921
         315     138.924     139.989
         316     138.924     140.319
         317     138.924     140.572
         318     138.924     141.197
         319     138.924     139.081
         320     138.924     139.001
         321     138.924     139.283
         322     138.924     138.924
         323     138.924     138.924
         324     138.924     138.924
         325     138.924     138.924
         326     138.924     138.924
         327     138.924     138.924
         328     138.924     138.924
         329     138.924     138.924
         330     138.924     138.924
         331     138.294     138.912
         332     138.294     138.817
         333     138.294     138.602
         334     138.294     138.556
         335     138.294     138.363
         336     137.976     138.297
         337     137.976     138.255
         338     137.976     138.164
         339     137.976     138.088
         340     137.976     137.976
         341     137.976     137.976
         342     137.877     137.974
         343     137.877     137.962
         344     137.877      137.95
         345     137.877     137.942
         346     137.877      137.93
         347     137.839     137.876
         348     137.175     137.847
         349     137.175     137.714
         350     137.175     137.529
         351     137.175     137.307
         352     137.175     137.175
         353     137.175     137.175
         354     137.175     137.217
         355     137.175     137.466
         356      136.54     137.163
         357      136.54     137.099
         358      136.54     136.896
         359      136.54     136.591
         360      136.54      136.54
         361      136.54      136.54
         362      136.54      136.54
         363     135.347     136.509
         364     135.347     136.425
         365     135.347      136.14
         366     135.347     135.729
         367     135.347      135.46
         368     135.181     135.453
         369     135.181      135.32
         370     135.181     135.254
         371     134.819      135.21
         372     134.653     135.139
         373     134.653     135.139
         374     134.653     135.012
         375     134.446      134.84
         376     134.446     134.713
         377     134.446     134.751
         378     134.446     134.795
         379     134.446     134.664
         380     134.446     134.446
         381     134.446     134.446
         382     134.443     134.446
         383     134.443     134.446
         384     134.443     134.445
         385     134.443     134.444
         386     134.443     134.444
         387     134.443     134.443
         388     134.266     134.439
         389     134.266     134.418
         390     134.266     134.379
         391     133.796     134.338
         392     133.796     134.436
         393     133.796     134.163
         394     133.524     133.913
         395     133.524     133.908
         396     133.524     133.937
         397     133.524     133.923
         398     133.524     133.663
         399     133.524     133.594
         400     133.524     133.529
         401      132.77     133.509
         402      132.77     133.433
         403      132.77     133.177
         404      132.77     133.026
         405      132.77     132.815
         406      132.77      132.77
         407      132.77      132.77
         408      132.77      132.77
         409     132.567     132.766
         410     132.567     132.757
         411     132.567     132.717
         412     132.567     132.648
         413     132.567     132.907
         414     132.567     132.821
         415     132.567     132.648
         416     132.567     132.921
         417     132.567     132.567
         418     132.567      132.58
         419     132.567     132.567
         420     131.263     132.534
         421     131.263     132.508
         422     131.263     132.268
         423     131.263     131.965
         424     131.263     131.595
         425     131.263      131.44
         426     131.263     131.948
         427     131.263     132.005
         428     131.263     131.641
         429     131.263     132.342
         430     130.596     131.283
         431     130.596     131.183
         432     130.596     130.983
         433     130.596     130.898
         434     130.596     130.666
         435     130.596     130.688
         436     130.596     130.858
         437     130.422     132.309
         438     130.422     132.864
         439     130.422     131.566
         440      130.42     131.151
         441      130.42     130.479
         442     130.245     130.425
         443     130.245     130.432
         444     130.245     130.688
         445     130.245     130.406
         446     130.245     130.266
         447     130.245     130.371
         448     130.245     130.316
         449     130.245     130.245
         450     130.245     130.245
         451     129.139      130.22
         452     129.139      129.93
         453     129.139     129.646
         454     129.139      129.32
         455     128.996     129.136
         456     128.996     129.125
         457     128.996     129.105
         458     128.996     129.266
         459     128.996     129.181
         460     128.901     129.175
         461     128.901     128.981
         462     128.901     128.958
         463     128.371     129.501
         464     128.371      129.28
         465     127.902     128.861
         466     127.902     128.894
         467     127.902     128.582
         468     127.902     128.329
         469     127.259      128.08
